"model","K","variable","edf","RMSE","AIC","BIC"
"Partially linear FE",10,"log_output",2.87737312889698,0.117184236428525,-1185.58823206413,-421.376787809559
"Partially linear FE",20,"log_output",2.86677336129084,0.117198132155087,-1185.48173443653,-421.611032267934
"Partially linear FE",40,"log_output",2.8691448986558,0.117198719928549,-1185.52375532632,-421.782342953457
"Additive GAM FE",10,"log_wage",4.53918246206847,0.114011708051476,-1219.13990685892,-398.033416592674
"Additive GAM FE",10,"log_capital",7.07236932306213,0.114011708051476,-1219.13990685892,-398.033416592674
"Additive GAM FE",10,"log_output",2.50714499576972,0.114011708051476,-1219.13990685892,-398.033416592674
"Additive GAM FE",20,"log_wage",8.83750508204152,0.111141905704325,-1252.89596833995,-385.34198284506
"Additive GAM FE",20,"log_capital",11.611705831272,0.111141905704325,-1252.89596833995,-385.34198284506
"Additive GAM FE",20,"log_output",2.51366481349686,0.111141905704325,-1252.89596833995,-385.34198284506
"Additive GAM FE",40,"log_wage",13.4930026342709,0.108989892658354,-1283.87109480148,-393.24922726152
"Additive GAM FE",40,"log_capital",12.7623906464716,0.108989892658354,-1283.87109480148,-393.24922726152
"Additive GAM FE",40,"log_output",2.57074054938023,0.108989892658354,-1283.87109480148,-393.24922726152
