"model","variable","label","x","estimate"
"Linear FE","log_wage","Log wages",2.31280165560202,0.190185316275089
"Linear FE","log_wage","Log wages",2.31995942690189,0.18806034067425
"Linear FE","log_wage","Log wages",2.32711719820175,0.185935365073411
"Linear FE","log_wage","Log wages",2.33427496950161,0.183810389472572
"Linear FE","log_wage","Log wages",2.34143274080147,0.181685413871733
"Linear FE","log_wage","Log wages",2.34859051210133,0.179560438270894
"Linear FE","log_wage","Log wages",2.3557482834012,0.177435462670055
"Linear FE","log_wage","Log wages",2.36290605470106,0.175310487069216
"Linear FE","log_wage","Log wages",2.37006382600092,0.173185511468377
"Linear FE","log_wage","Log wages",2.37722159730078,0.171060535867538
"Linear FE","log_wage","Log wages",2.38437936860064,0.168935560266699
"Linear FE","log_wage","Log wages",2.39153713990051,0.16681058466586
"Linear FE","log_wage","Log wages",2.39869491120037,0.164685609065021
"Linear FE","log_wage","Log wages",2.40585268250023,0.162560633464182
"Linear FE","log_wage","Log wages",2.41301045380009,0.160435657863343
"Linear FE","log_wage","Log wages",2.42016822509996,0.158310682262504
"Linear FE","log_wage","Log wages",2.42732599639982,0.156185706661665
"Linear FE","log_wage","Log wages",2.43448376769968,0.154060731060826
"Linear FE","log_wage","Log wages",2.44164153899954,0.151935755459987
"Linear FE","log_wage","Log wages",2.4487993102994,0.149810779859148
"Linear FE","log_wage","Log wages",2.45595708159927,0.147685804258309
"Linear FE","log_wage","Log wages",2.46311485289913,0.14556082865747
"Linear FE","log_wage","Log wages",2.47027262419899,0.143435853056631
"Linear FE","log_wage","Log wages",2.47743039549885,0.141310877455792
"Linear FE","log_wage","Log wages",2.48458816679871,0.139185901854953
"Linear FE","log_wage","Log wages",2.49174593809858,0.137060926254114
"Linear FE","log_wage","Log wages",2.49890370939844,0.134935950653275
"Linear FE","log_wage","Log wages",2.5060614806983,0.132810975052436
"Linear FE","log_wage","Log wages",2.51321925199816,0.130685999451597
"Linear FE","log_wage","Log wages",2.52037702329803,0.128561023850758
"Linear FE","log_wage","Log wages",2.52753479459789,0.126436048249919
"Linear FE","log_wage","Log wages",2.53469256589775,0.12431107264908
"Linear FE","log_wage","Log wages",2.54185033719761,0.122186097048241
"Linear FE","log_wage","Log wages",2.54900810849747,0.120061121447402
"Linear FE","log_wage","Log wages",2.55616587979734,0.117936145846563
"Linear FE","log_wage","Log wages",2.5633236510972,0.115811170245724
"Linear FE","log_wage","Log wages",2.57048142239706,0.113686194644885
"Linear FE","log_wage","Log wages",2.57763919369692,0.111561219044046
"Linear FE","log_wage","Log wages",2.58479696499678,0.109436243443207
"Linear FE","log_wage","Log wages",2.59195473629665,0.107311267842368
"Linear FE","log_wage","Log wages",2.59911250759651,0.105186292241529
"Linear FE","log_wage","Log wages",2.60627027889637,0.10306131664069
"Linear FE","log_wage","Log wages",2.61342805019623,0.100936341039851
"Linear FE","log_wage","Log wages",2.6205858214961,0.0988113654390124
"Linear FE","log_wage","Log wages",2.62774359279596,0.0966863898381734
"Linear FE","log_wage","Log wages",2.63490136409582,0.0945614142373345
"Linear FE","log_wage","Log wages",2.64205913539568,0.0924364386364955
"Linear FE","log_wage","Log wages",2.64921690669554,0.0903114630356566
"Linear FE","log_wage","Log wages",2.65637467799541,0.0881864874348176
"Linear FE","log_wage","Log wages",2.66353244929527,0.0860615118339787
"Linear FE","log_wage","Log wages",2.67069022059513,0.0839365362331396
"Linear FE","log_wage","Log wages",2.67784799189499,0.0818115606323006
"Linear FE","log_wage","Log wages",2.68500576319485,0.0796865850314617
"Linear FE","log_wage","Log wages",2.69216353449472,0.0775616094306227
"Linear FE","log_wage","Log wages",2.69932130579458,0.0754366338297838
"Linear FE","log_wage","Log wages",2.70647907709444,0.0733116582289447
"Linear FE","log_wage","Log wages",2.7136368483943,0.0711866826281057
"Linear FE","log_wage","Log wages",2.72079461969417,0.0690617070272668
"Linear FE","log_wage","Log wages",2.72795239099403,0.0669367314264278
"Linear FE","log_wage","Log wages",2.73511016229389,0.0648117558255889
"Linear FE","log_wage","Log wages",2.74226793359375,0.0626867802247499
"Linear FE","log_wage","Log wages",2.74942570489361,0.0605618046239108
"Linear FE","log_wage","Log wages",2.75658347619348,0.0584368290230719
"Linear FE","log_wage","Log wages",2.76374124749334,0.0563118534222329
"Linear FE","log_wage","Log wages",2.7708990187932,0.054186877821394
"Linear FE","log_wage","Log wages",2.77805679009306,0.052061902220555
"Linear FE","log_wage","Log wages",2.78521456139292,0.049936926619716
"Linear FE","log_wage","Log wages",2.79237233269279,0.047811951018877
"Linear FE","log_wage","Log wages",2.79953010399265,0.045686975418038
"Linear FE","log_wage","Log wages",2.80668787529251,0.043561999817199
"Linear FE","log_wage","Log wages",2.81384564659237,0.0414370242163601
"Linear FE","log_wage","Log wages",2.82100341789223,0.0393120486155211
"Linear FE","log_wage","Log wages",2.8281611891921,0.037187073014682
"Linear FE","log_wage","Log wages",2.83531896049196,0.0350620974138431
"Linear FE","log_wage","Log wages",2.84247673179182,0.0329371218130041
"Linear FE","log_wage","Log wages",2.84963450309168,0.0308121462121652
"Linear FE","log_wage","Log wages",2.85679227439155,0.0286871706113262
"Linear FE","log_wage","Log wages",2.86395004569141,0.0265621950104871
"Linear FE","log_wage","Log wages",2.87110781699127,0.0244372194096483
"Linear FE","log_wage","Log wages",2.87826558829113,0.0223122438088092
