"estimator","log_output","estimate","point_low","point_high","uniform_low","uniform_high"
"Factor fixed effects",4.48863636973214,-0.0663292569993904,-0.118920674599327,-0.0137378393994543,-0.135630575831239,0.0029720618324586
"Factor fixed effects",4.49063966686812,-0.0652716732982514,-0.116948893091455,-0.0135944535050473,-0.133368325730695,0.00282497913419272
"Factor fixed effects",4.4926429640041,-0.0642066265688291,-0.114985291500418,-0.01342796163724,-0.131119225788896,0.00270597265123766
"Factor fixed effects",4.49464626114008,-0.0631335391553193,-0.113029661442331,-0.0132374168683073,-0.128883184950936,0.0026161066402971
"Factor fixed effects",4.49664955827606,-0.0620518334019159,-0.111081754726543,-0.0130219120772888,-0.126660059707316,0.00255639290348385
"Factor fixed effects",4.49865285541204,-0.0609609316528135,-0.109141282530241,-0.0127805807753856,-0.124449653006296,0.00252778970066921
"Factor fixed effects",4.50065615254802,-0.0598602562522062,-0.107207914948559,-0.0125125975558533,-0.122251713661058,0.00253120115664508
"Factor fixed effects",4.502659449684,-0.0587492295442896,-0.105281280981298,-0.0122171781072815,-0.120065936332205,0.00256747724362576
"Factor fixed effects",4.50466274681997,-0.0576272738732577,-0.103360969020891,-0.0118935787256241,-0.117891962170775,0.00263741442426015
"Factor fixed effects",4.50666604395595,-0.0564940857662378,-0.10144678659389,-0.0115413849385858,-0.115729633971229,0.0027414624387533
"Factor fixed effects",4.50866934109193,-0.0553506746121737,-0.0995397352648662,-0.0111616139594811,-0.113579950812096,0.00287860158774911
"Factor fixed effects",4.51067263822791,-0.0541984422902202,-0.0976411286166191,-0.0107557559638214,-0.111444198221725,0.00304731364128433
"Factor fixed effects",4.51267593536389,-0.0530387907502105,-0.095752216882611,-0.0103253646178099,-0.109323578228647,0.00324599672822636
"Factor fixed effects",4.51467923249987,-0.0518731219419769,-0.0938741847742197,-0.00987205910973407,-0.107219206520943,0.00347296263698908
"Factor fixed effects",4.51668252963585,-0.0507028378153535,-0.0920081507697418,-0.00939752486096527,-0.105132111509334,0.00372643587862734
"Factor fixed effects",4.51868582677183,-0.0495293403201729,-0.0901551679675495,-0.00890351267279621,-0.10306323545142,0.00400455481107412
"Factor fixed effects",4.52068912390781,-0.0483540314062674,-0.0883162266749364,-0.00839183613759846,-0.101013437863073,0.00430537505053821
"Factor fixed effects",4.52269242104379,-0.0471783130234712,-0.0864922589053607,-0.00786436714158165,-0.0989835014445986,0.0046268753976562
"Factor fixed effects",4.52469571817977,-0.0460034202095248,-0.084684026721297,-0.00732281369775266,-0.0969740379797687,0.00496719756071903
