"estimator","log_output","estimate","point_low","point_high","uniform_low","uniform_high"
"First differences",4.48863636973214,-0.0843343826329068,-0.13682532375754,-0.0318434415082741,-0.13682532375754,-0.0318434415082741
"First differences",4.49063966686812,-0.0833920934418814,-0.135296552977884,-0.0314876339058785,-0.135296552977884,-0.0314876339058785
"First differences",4.4926429640041,-0.0824498041816668,-0.133767782135381,-0.0311318262279521,-0.133767782135381,-0.0311318262279521
"First differences",4.49464626114008,-0.0815075148469082,-0.132239011225166,-0.0307760184686505,-0.132239011225166,-0.0307760184686505
"First differences",4.49664955827606,-0.08056522543225,-0.130710240242371,-0.0304202106221287,-0.130710240242371,-0.0304202106221287
"First differences",4.49865285541204,-0.0796229359323368,-0.129181469182132,-0.0300644026825421,-0.129181469182132,-0.0300644026825421
"First differences",4.50065615254802,-0.0786806463418127,-0.12765269803958,-0.0297085946440456,-0.12765269803958,-0.0297085946440456
"First differences",4.502659449684,-0.0777383566553233,-0.126123926809852,-0.0293527865007946,-0.126123926809852,-0.0293527865007946
"First differences",4.50466274681997,-0.0767960668675127,-0.124595155488081,-0.0289969782469443,-0.124595155488081,-0.0289969782469443
"First differences",4.50666604395595,-0.0758537769740548,-0.123066384068936,-0.028641169879174,-0.123066384068936,-0.028641169879174
"First differences",4.50866934109193,-0.0749114869755546,-0.121537612544857,-0.0282853614062522,-0.121537612544857,-0.0282853614062522
"First differences",4.51067263822791,-0.07396919687409,-0.120008840907619,-0.0279295528405609,-0.120008840907619,-0.0279295528405609
"First differences",4.51267593536389,-0.0730269066717396,-0.118480069148996,-0.0275737441944829,-0.118480069148996,-0.0275737441944829
"First differences",4.51467923249987,-0.0720846163705813,-0.116951297260762,-0.0272179354804006,-0.116951297260762,-0.0272179354804006
"First differences",4.51668252963585,-0.0711423259726946,-0.115422525234692,-0.0268621267106974,-0.115422525234692,-0.0268621267106974
"First differences",4.51868582677183,-0.0702000354801573,-0.113893753062559,-0.0265063178977557,-0.113893753062559,-0.0265063178977557
"First differences",4.52068912390781,-0.0692577448950477,-0.112364980736137,-0.0261505090539584,-0.112364980736137,-0.0261505090539584
"First differences",4.52269242104379,-0.0683154542194451,-0.110836208247202,-0.0257947001916885,-0.110836208247202,-0.0257947001916885
"First differences",4.52469571817977,-0.0673731634551279,-0.109307435587687,-0.0254388913225685,-0.109307435587687,-0.0254388913225685
"First differences",4.52669901531575,-0.066430872602275,-0.107778662750391,-0.0250830824541592,-0.107778662750391,-0.0250830824541592
"First differences",4.52870231245173,-0.0654885816605344,-0.106249889728397,-0.0247272735926719,-0.106249889728397,-0.0247272735926719
"First differences",4.53070560958771,-0.0645462906295527,-0.104721116514789,-0.0243714647443164,-0.104721116514789,-0.0243714647443164
"First differences",4.53270890672369,-0.0636039995089768,-0.103192343102651,-0.0240156559153027,-0.103192343102651,-0.0240156559153027
"First differences",4.53471220385967,-0.0626617082984533,-0.101663569485066,-0.0236598471118408,-0.101663569485066,-0.0236598471118408
"First differences",4.53671550099565,-0.0617194169976299,-0.100134795655119,-0.0233040383401412,-0.100134795655119,-0.0233040383401412
"First differences",4.53871879813162,-0.0607771256061532,-0.0986060216058926,-0.0229482296064137,-0.0986060216058926,-0.0229482296064137
"First differences",4.5407220952676,-0.0598348341236696,-0.0970772473304707,-0.0225924209168685,-0.0970772473304707,-0.0225924209168685
"First differences",4.54272539240358,-0.058892542550101,-0.0955484728222734,-0.0222366122779286,-0.0955484728222734,-0.0222366122779286
"First differences",4.54472868953956,-0.0579502508893861,-0.09401969807964,-0.0218808036991323,-0.09401969807964,-0.0218808036991323
"First differences",4.54673198667554,-0.0570079591485151,-0.0924909231046463,-0.0215249951923839,-0.0924909231046463,-0.0215249951923839
"First differences",4.54873528381152,-0.0560656673345535,-0.0909621478994604,-0.0211691867696466,-0.0909621478994604,-0.0211691867696466
"First differences",4.5507385809475,-0.0551233754545686,-0.0894333724662529,-0.0208133784428842,-0.0894333724662529,-0.0208133784428842
"First differences",4.55274187808348,-0.0541810835156259,-0.0879045968071918,-0.0204575702240601,-0.0879045968071918,-0.0204575702240601
"First differences",4.55474517521946,-0.053238791526503,-0.086375820926171,-0.0201017621268349,-0.086375820926171,-0.0201017621268349
"First differences",4.55674847235544,-0.0522964995071873,-0.0848470448383892,-0.0197459541759855,-0.0848470448383892,-0.0197459541759855
"First differences",4.55875176949142,-0.0513542074821765,-0.0833182685635919,-0.0193901464007612,-0.0833182685635919,-0.0193901464007612
"First differences",4.5607550666274,-0.0504119154759807,-0.0817894921215374,-0.019034338830424,-0.0817894921215374,-0.019034338830424
"First differences",4.56275836376338,-0.0494696235131096,-0.0802607155319834,-0.0186785314942359,-0.0802607155319834,-0.0186785314942359
"First differences",4.56476166089936,-0.0485273316180744,-0.0787319388146894,-0.0183227244214593,-0.0787319388146894,-0.0183227244214593
"First differences",4.56676495803534,-0.0475850398153846,-0.0772031619894131,-0.0179669176413562,-0.0772031619894131,-0.0179669176413562
"First differences",4.56876825517132,-0.0466427481295503,-0.0756743850759118,-0.0176111111831887,-0.0756743850759118,-0.0176111111831887
"First differences",4.5707715523073,-0.0457004565869369,-0.0741456080962458,-0.0172553050776281,-0.0741456080962458,-0.0172553050776281
"First differences",4.57277484944327,-0.044758165221606,-0.0726168310820213,-0.0168994993611907,-0.0726168310820213,-0.0168994993611907
"First differences",4.57477814657925,-0.0438158740696156,-0.0710880540673216,-0.0165436940719096,-0.0710880540673216,-0.0165436940719096
"First differences",4.57678144371523,-0.0428735831670249,-0.0695592770862318,-0.016187889247818,-0.0695592770862318,-0.016187889247818
"First differences",4.57878474085121,-0.0419312925498264,-0.0680305001727596,-0.0158320849268932,-0.0680305001727596,-0.0158320849268932
"First differences",4.58078803798719,-0.0409890022443436,-0.0665017233498048,-0.0154762811388824,-0.0665017233498048,-0.0154762811388824
"First differences",4.58279133512317,-0.0400467122571074,-0.0649729466175285,-0.0151204778966863,-0.0649729466175285,-0.0151204778966863
"First differences",4.58479463225915,-0.039104422592228,-0.0634441699733112,-0.0147646752111449,-0.0634441699733112,-0.0147646752111449
"First differences",4.58679792939513,-0.0381621332538143,-0.0619153934145316,-0.0144088730930971,-0.0619153934145316,-0.0144088730930971
"First differences",4.58880122653111,-0.0372198442459752,-0.0603866169385681,-0.0140530715533823,-0.0603866169385681,-0.0140530715533823
"First differences",4.59080452366709,-0.0362775555730201,-0.058857840542864,-0.0136972706031761,-0.058857840542864,-0.0136972706031761
"First differences",4.59280782080307,-0.0353352672445022,-0.0573290642265079,-0.0133414702624965,-0.0573290642265079,-0.0133414702624965
"First differences",4.59481111793905,-0.0343929792756141,-0.0558002879903598,-0.0129856705608683,-0.0558002879903598,-0.0129856705608683
"First differences",4.59681441507503,-0.033450691681826,-0.0542715118353671,-0.0126298715282849,-0.0542715118353671,-0.0126298715282849
"First differences",4.59881771221101,-0.0325084044785449,-0.05274273576244,-0.0122740731946499,-0.05274273576244,-0.0122740731946499
"First differences",4.60082100934699,-0.031566117674129,-0.0512139597682242,-0.0119182755800338,-0.0512139597682242,-0.0119182755800338
"First differences",4.60282430648297,-0.030623831263655,-0.0496851838413322,-0.0115624786859779,-0.0496851838413322,-0.0115624786859779
"First differences",4.60482760361894,-0.0296815452407304,-0.0481564079694894,-0.0112066825119714,-0.0481564079694894,-0.0112066825119714
"First differences",4.60683090075492,-0.0287392596001863,-0.0466276321426777,-0.0108508870576949,-0.0466276321426777,-0.0108508870576949
"First differences",4.6088341978909,-0.0277969743416665,-0.045098856359748,-0.010495092323585,-0.045098856359748,-0.010495092323585
"First differences",4.61083749502688,-0.0268546894659961,-0.0435700806217293,-0.0101392983102628,-0.0435700806217293,-0.0101392983102628
"First differences",4.61284079216286,-0.0259124049743248,-0.0420413049301354,-0.00978350501851419,-0.0420413049301354,-0.00978350501851419
"First differences",4.61484408929884,-0.0249701208707304,-0.0405125292908396,-0.00942771245062126,-0.0405125292908396,-0.00942771245062126
"First differences",4.61684738643482,-0.024027837160848,-0.0389837537120353,-0.0090719206096607,-0.0389837537120353,-0.0090719206096607
"First differences",4.6188506835708,-0.023085553850328,-0.037454978201941,-0.00871612949871492,-0.037454978201941,-0.00871612949871492
"First differences",4.62085398070678,-0.0221432709448197,-0.0359262027687761,-0.00836033912086331,-0.0359262027687761,-0.00836033912086331
"First differences",4.62285727784276,-0.0212009884499729,-0.0343974274207635,-0.0080045494791823,-0.0343974274207635,-0.0080045494791823
"First differences",4.62486057497874,-0.0202587063714372,-0.0328686521661299,-0.00764876057674438,-0.0328686521661299,-0.00764876057674438
"First differences",4.62686387211472,-0.0193164247151605,-0.0313398770135767,-0.00729297241674419,-0.0313398770135767,-0.00729297241674419
"First differences",4.6288671692507,-0.018374143487987,-0.0298111019732226,-0.00693718500275149,-0.0298111019732226,-0.00693718500275149
"First differences",4.63087046638668,-0.0174318626969297,-0.0282823270554593,-0.00658139833840011,-0.0282823270554593,-0.00658139833840011
"First differences",4.63287376352266,-0.0164895823490025,-0.0267535522706905,-0.00622561242731453,-0.0267535522706905,-0.00622561242731453
"First differences",4.63487706065863,-0.0155473024512184,-0.0252247776293308,-0.00586982727310596,-0.0252247776293308,-0.00586982727310596
"First differences",4.63688035779461,-0.01460502301059,-0.0236960031418113,-0.0055140428793687,-0.0236960031418113,-0.0055140428793687
"First differences",4.63888365493059,-0.013662744034127,-0.022167228818584,-0.00515825924967006,-0.022167228818584,-0.00515825924967006
"First differences",4.64088695206657,-0.0127204655217295,-0.0206384546633382,-0.00480247638012078,-0.0206384546633382,-0.00480247638012078
"First differences",4.64289024920255,-0.0117781874518209,-0.0191096806592878,-0.00444669424435411,-0.0191096806592878,-0.00444669424435411
"First differences",4.64489354633853,-0.0108359097987841,-0.017580906785848,-0.00409091281172015,-0.017580906785848,-0.00409091281172015
"First differences",4.64689684347451,-0.00989363253700279,-0.0160521330225284,-0.00373513205147721,-0.0160521330225284,-0.00373513205147721
"First differences",4.64890014061049,-0.00895135564085983,-0.0145233593489773,-0.00337935193274238,-0.0145233593489773,-0.00337935193274238
"First differences",4.65090343774647,-0.00800907908473785,-0.0129945857450665,-0.00302357242440917,-0.0129945857450665,-0.00302357242440917
"First differences",4.65290673488245,-0.0070668028430208,-0.0114658121910426,-0.00266779349499901,-0.0114658121910426,-0.00266779349499901
"First differences",4.65491003201843,-0.00612452689009136,-0.00993703866780896,-0.00231201511237375,-0.00993703866780896,-0.00231201511237375
"First differences",4.65691332915441,-0.00518225120033263,-0.00840826515752807,-0.0019562372431372,-0.00840826515752807,-0.0019562372431372
"First differences",4.65891662629039,-0.0042399757481273,-0.00687949164501766,-0.00160045985123693,-0.00687949164501766,-0.00160045985123693
"First differences",4.66091992342637,-0.00329770050785932,-0.00535071812154749,-0.00124468289417115,-0.00535071812154749,-0.00124468289417115
"First differences",4.66292322056235,-0.00235542545391136,-0.0038219445977323,-0.000888906310090413,-0.0038219445977323,-0.000888906310090413
"First differences",4.66492651769833,-0.00141315056067863,-0.00229317116801464,-0.000533129953342621,-0.00229317116801464,-0.000533129953342621
"First differences",4.66692981483431,-0.00047087580804577,-0.000764398852406331,-0.00017735276368521,-0.000764398852406331,-0.00017735276368521
"First differences",4.66893311197028,0.000471398810037076,0.000178418002599585,0.000764379617474567,0.000178418002599585,0.000764379617474567
"First differences",4.67093640910626,0.00141367329739731,0.000534194460674026,0.00229315213412059,0.000534194460674026,0.00229315213412059
"First differences",4.67293970624224,0.00235594765786277,0.000889969344405738,0.0038219259713198,0.000889969344405738,0.0038219259713198
"First differences",4.67494300337822,0.00329822189526001,0.00124574369758353,0.00535070009293649,0.00124574369758353,0.00535070009293649
"First differences",4.6769463005142,0.00424049601341687,0.00160151763972669,0.00687947438710705,0.00160151763972669,0.00687947438710705
"First differences",4.67894959765018,0.00518277001616116,0.00195729120639985,0.00840824882592246,0.00195729120639985,0.00840824882592246
"First differences",4.68095289478616,0.00612504390731944,0.0023130644137978,0.00993702340084108,0.0023130644137978,0.00993702340084108
"First differences",4.68295619192214,0.00706731769071956,0.00266883727166006,0.0114657981097791,0.00266883727166006,0.0114657981097791
"First differences",4.68495948905812,0.00800959137019399,0.00302460978708367,0.0129945729533043,0.00302460978708367,0.0129945729533043
"First differences",4.6869627861941,0.00895186495041693,0.00338038196851111,0.0145233479323227,0.00338038196851111,0.0145233479323227
"First differences",4.68896608333008,0.00989413843783576,0.00373615382921762,0.0160521230464539,0.00373615382921762,0.0160521230464539
"First differences",4.69096938046606,0.010836411839124,0.00409192538280269,0.0175808982954454,0.00409192538280269,0.0175808982954454
"First differences",4.69297267760204,0.0117786851609553,0.00444769664264237,0.0191096736792682,0.00444769664264237,0.0191096736792682
"First differences",4.69497597473802,0.0127209584100018,0.00480346762197157,0.0206384491980321,0.00480346762197157,0.0206384491980321
"First differences",4.696979271874,0.0136632315929372,0.00515923833393354,0.0221672248519409,0.00515923833393354,0.0221672248519409
"First differences",4.69898256900998,0.014605504716435,0.0055150087916091,0.0236960006412609,0.0055150087916091,0.0236960006412609
"First differences",4.70098586614596,0.0155477777871671,0.00587077900803476,0.0252247765662995,0.00587077900803476,0.0252247765662995
