"package","version"
"mgcv","1.9-4"
"ggplot2","4.0.3"
"plm","2.6-7"
"sandwich","3.1-1"
"lmtest","0.9-40"
"nlme","3.1-169"
"methods","4.6.0"
"stats","4.6.0"
"graphics","4.6.0"
"Matrix","1.7-5"
"splines","4.6.0"
"utils","4.6.0"
"grDevices","4.6.0"
"grid","4.6.0"
"lattice","0.22-9"
"cli","3.6.6"
"gtable","0.3.6"
"isoband","0.3.0"
"lifecycle","1.0.5"
"rlang","1.3.0"
"S7","0.2.2"
"scales","1.4.0"
"vctrs","0.7.3"
"withr","3.0.3"
"glue","1.8.1"
"cpp11","0.5.5"
"farver","2.1.2"
"labeling","0.4.3"
"R6","2.6.1"
"RColorBrewer","1.1-3"
"viridisLite","0.4.3"
"MASS","7.3-65"
"bdsmatrix","1.3-7"
"collapse","2.1.7"
"zoo","1.8-15"
"maxLik","1.5-2.2"
"Rdpack","2.6.6"
"Formula","1.2-5"
"Rcpp","1.1.2"
"miscTools","0.6-30"
"generics","0.1.4"
"tools","4.6.0"
"rbibutils","2.4.1"
"digest","0.6.39"
