"sim","method","beta_hat","se_classic_cluster","t_classic_cluster","reject_classic_cluster","se_penalty_cluster","t_penalty_cluster","reject_penalty_cluster","p_boot","reject_wild_boot","boot_success","error_design","rho","df_correction"
1,"bam_fe",1.07447724058542,0.0249900300713945,2.98027814983184,1,0.0248727652632968,2.99432892953478,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
1,"bam_re",1.07804979506494,0.0250105197833797,3.12067864806257,1,0.024681526535505,3.16227584029955,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
1,"bam_fd",1.05678592646767,0.0243307510129401,2.33391589258651,1,0.0241763842635411,2.34881799729257,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
2,"bam_fe",1.06223906225098,0.0253612438959141,2.45410132509328,1,0.0252832296620796,2.46167372929907,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
2,"bam_re",1.06450939217886,0.0253331922435422,2.54643755744222,1,0.0250209552941073,2.57821459734802,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
2,"bam_fd",1.04338909789131,0.0245877975387133,1.7646598001711,0,0.0244503083462345,1.77458285093551,0,NA,NA,NA,"hetero_ar1",0.5,"substantive"
3,"bam_fe",1.05378615959247,0.0266970585501207,2.01468485719102,1,0.0265025577491207,2.02947051758635,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
3,"bam_re",1.05913771099345,0.0267469399035476,2.21100848196883,1,0.0262955134888019,2.24896581763419,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
3,"bam_fd",1.05826850559716,0.0251287446887365,2.31879890217012,1,0.0249009777081912,2.34000874503767,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
4,"bam_fe",1.09317139851984,0.0238187023367084,3.91169078830328,1,0.0237292296943423,3.92644007917604,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
4,"bam_re",1.09828283838409,0.0237874117463875,4.13171636460279,1,0.0234394316177101,4.19305553082757,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
4,"bam_fd",1.07163862250176,0.0250378647599163,2.86121133685671,1,0.0249265010523781,2.873994322397,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
5,"bam_fe",1.05987147652026,0.0241909573789353,2.47495275124559,1,0.0238933281604004,2.50578220490391,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
5,"bam_re",1.06373220106295,0.0241714436944849,2.63667333521698,1,0.0235856160653304,2.70216393272974,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
5,"bam_fd",1.0724136100876,0.0243628891869987,2.9722915673828,1,0.0237431663691932,3.04987165408378,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
6,"bam_fe",1.06850048934635,0.023636362440165,2.89809777286002,1,0.0235391513637031,2.91006622490141,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
6,"bam_re",1.07507606445865,0.0236367178728947,3.17624743259075,1,0.0233001040252567,3.22213430366119,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
6,"bam_fd",1.06666113772855,0.0234556119051758,2.84201230810112,1,0.0233016610423656,2.86078909170268,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
7,"bam_fe",1.0549741133507,0.025878161847187,2.12434382609256,1,0.0257813854891122,2.13231803907172,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
7,"bam_re",1.0584306437262,0.025826580605926,2.26242275807854,1,0.0254332751466523,2.29740933439664,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
7,"bam_fd",1.03681684476878,0.023533933893264,1.56441523698343,0,0.0234980556360018,1.56680388109964,0,NA,NA,NA,"hetero_ar1",0.5,"substantive"
8,"bam_fe",1.11337446547831,0.0255706114685026,4.43377999067253,1,0.0253365245794364,4.47474416322771,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
8,"bam_re",1.11885202625471,0.0256109045749566,4.64068053148461,1,0.0250265191203507,4.74904343201548,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
8,"bam_fd",1.09887303736414,0.0238812561070912,4.14019417239875,1,0.0238156707720045,4.15159574175703,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
9,"bam_fe",1.07526038441099,0.0239722585109041,3.13947825887001,1,0.0239034660056,3.14851345797983,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
9,"bam_re",1.0803430994519,0.0239648129256582,3.35254440337713,1,0.0236190577494877,3.40162170328907,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
9,"bam_fd",1.08866824837228,0.0227375897699883,3.89963269059018,1,0.0226395409364647,3.91652147987951,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
10,"bam_fe",1.13735883824671,0.0234186250691996,5.86536732369328,1,0.0233527843084776,5.88190412039403,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
10,"bam_re",1.14068890393175,0.0234614446712486,5.99660020527916,1,0.023167001891486,6.07281445353783,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
10,"bam_fd",1.13727007602669,0.0239965316458169,5.72041318523708,1,0.0239342654085098,5.7352951379023,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
11,"bam_fe",1.11555204813534,0.0254659030318171,4.53752014962789,1,0.0252764095993028,4.57153725418849,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
11,"bam_re",1.11808446370062,0.0254908087591939,4.63243300030777,1,0.0250275532459872,4.71817850270911,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
11,"bam_fd",1.08671108835708,0.0234396354606982,3.69933604566789,1,0.023253834008001,3.72889426867162,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
12,"bam_fe",1.09647429485525,0.0236484210207584,4.07952373524515,1,0.0235092078137298,4.10368123076063,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
12,"bam_re",1.09992049908438,0.0236069462235212,4.23267364352385,1,0.0232248749667611,4.30230514598624,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
12,"bam_fd",1.09223266204493,0.0244445583949021,3.77313676749273,1,0.0243022735960158,3.79522770495223,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
13,"bam_fe",1.04878874237128,0.02682103444824,1.81904775020625,0,0.0267009197063281,1.82723078110724,0,NA,NA,NA,"hetero_ar1",0.5,"substantive"
13,"bam_re",1.05547179648713,0.0268048464654925,2.06946891333767,1,0.0263312575912036,2.10668997844057,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
13,"bam_fd",1.04779664002028,0.0230835259201521,2.07059528884867,1,0.0230009990748687,2.07802451818306,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
14,"bam_fe",1.05806953676935,0.0245477064520716,2.36557891397015,1,0.0245136891224841,2.36886159725702,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
14,"bam_re",1.0638357005871,0.0244981758854627,2.60573280580375,1,0.0242297390243979,2.63460124447984,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
14,"bam_fd",1.0755379201133,0.0248200654867828,3.04342146693866,1,0.0247713373286014,3.04940823788632,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
15,"bam_fe",1.09661992155737,0.0251177787113242,3.84667460717033,1,0.0250609226179754,3.85540161590348,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
15,"bam_re",1.10155173354813,0.0251208837711219,4.04252232817026,1,0.0248363076383481,4.08884182894122,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
15,"bam_fd",1.07993854533119,0.0236960470788981,3.37349706746578,1,0.0235636121681353,3.39245718189563,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
16,"bam_fe",1.0824046583441,0.0246978660939105,3.33650923649688,1,0.0245001716215337,3.36343188190846,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
16,"bam_re",1.08632672188706,0.0246885950407973,3.49662351156118,1,0.0242435016415694,3.56081902537724,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
16,"bam_fd",1.08578647939073,0.0235116623213453,3.64867775907299,1,0.0233562613774514,3.67295424573159,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
17,"bam_fe",1.07087890450288,0.0243847259980268,2.90669267756464,1,0.024119437869278,2.93866320131641,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
17,"bam_re",1.07539939050875,0.0244316975704055,3.08612982341764,1,0.0239716097420337,3.14536200614585,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
17,"bam_fd",1.05215794391608,0.0228855285163636,2.27907971969198,1,0.0227742826066791,2.29021237756926,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
18,"bam_fe",1.07830082530286,0.024814083815109,3.15549934812348,1,0.0247075102085644,3.16911030864276,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
18,"bam_re",1.08120552491752,0.0248004984003314,3.27435052339236,1,0.0244978777409556,3.31479835829847,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
18,"bam_fd",1.08058581514716,0.0223399677937677,3.6072484925264,1,0.0222571202459359,3.62067573238149,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
19,"bam_fe",1.09228635673595,0.0249470479154011,3.69928967342774,1,0.024615208337646,3.74916009119489,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
19,"bam_re",1.09810135573765,0.0249846470331188,3.92646554532506,1,0.0243942573383724,4.02149384491958,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
19,"bam_fd",1.09817935418265,0.0236778184329558,4.14646959392167,1,0.023354019415263,4.20395960270909,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
20,"bam_fe",1.07559254658379,0.0241895889371493,3.12500335496407,1,0.024131396945201,3.13253918765885,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
20,"bam_re",1.08486232697847,0.0242658846430548,3.49718661515014,1,0.0239961166163654,3.53650252393724,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
20,"bam_fd",1.07403211394898,0.0235776338402375,3.13992975082325,1,0.0234319954541059,3.15944555784755,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
21,"bam_fe",1.06436211800867,0.0242629724113516,2.65268891698348,1,0.0241198079461152,2.66843409999186,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
21,"bam_re",1.06719723747506,0.0243012237677967,2.76517915793636,1,0.0239440489355837,2.80642750337835,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
21,"bam_fd",1.07704315011855,0.0248152057286536,3.10467505129686,1,0.0247609594239163,3.11147677275118,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
22,"bam_fe",1.06135380194821,0.0237910725218371,2.57885817849931,1,0.0235739907226864,2.60260567122248,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
22,"bam_re",1.06015715855938,0.0238417980433268,2.52318044344052,1,0.0234080021571342,2.56993989301416,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
22,"bam_fd",1.06407010877099,0.0234405716314677,2.73329975814146,1,0.0231540514855884,2.76712301563581,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
23,"bam_fe",1.07653885067208,0.0243793150949593,3.13949962802288,1,0.0243433271030105,3.14414091172492,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
23,"bam_re",1.07563611486199,0.0243872964313128,3.10145550881464,1,0.0241448702995203,3.13259561653117,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
23,"bam_fd",1.06121113603028,0.0235193672995783,2.6025842978938,1,0.0234307821164591,2.61242393557495,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
24,"bam_fe",1.04707168074409,0.0247646655388815,1.9007598011041,0,0.0247365179436959,1.90292266887508,0,NA,NA,NA,"hetero_ar1",0.5,"substantive"
24,"bam_re",1.05359079551525,0.0248155939466089,2.15956126742528,1,0.0245748614667513,2.18071607800336,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
24,"bam_fd",1.0590678254018,0.0249911071542999,2.36355376482932,1,0.0249267484734184,2.36965625359392,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
25,"bam_fe",1.06410477141181,0.0243577141354067,2.63180572099018,1,0.0243020472355816,2.6378342034472,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
25,"bam_re",1.06889923791207,0.0243996465097304,2.8237801676592,1,0.0241157569622299,2.85702157390215,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
25,"bam_fd",1.07201073042222,0.0235819349134013,3.05363960534472,1,0.0234273426039343,3.07378995730102,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
26,"bam_fe",1.10016117375067,0.0233316985879699,4.29292249653487,1,0.0232716290729256,4.3040035330915,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
26,"bam_re",1.10103680125953,0.0233987225169994,4.31804775607431,1,0.0231124936911703,4.37152315148643,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
26,"bam_fd",1.0823559950132,0.0235367319497391,3.49904120882488,1,0.0233761196585889,3.52308236850349,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
27,"bam_fe",1.08635297978511,0.0247030208896027,3.49564452748605,1,0.0243523674068286,3.54597885053669,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
27,"bam_re",1.08998084378872,0.024675035325188,3.64663485190124,1,0.0240874692714127,3.73558727879791,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
27,"bam_fd",1.09837255322471,0.0238629191794936,4.12240231317759,1,0.0235866319430705,4.17069098556122,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
28,"bam_fe",1.08383811999937,0.0232974591521023,3.5985949992237,1,0.0232259187019673,3.60967938772094,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
28,"bam_re",1.08511180891597,0.0233406360662496,3.646507690467,1,0.0230158614943295,3.69796320406862,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
28,"bam_fd",1.09715677483003,0.0233382538118729,4.16298389816135,1,0.0232284273616343,4.18266692434376,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
29,"bam_fe",1.09523314972383,0.0233268668327593,4.08255212354912,1,0.0232327334856808,4.09909362505814,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
29,"bam_re",1.09873452157575,0.0233635797596088,4.22600143435376,1,0.0229795551354686,4.29662458623274,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
29,"bam_fd",1.11524825122884,0.02320044635685,4.96750146338532,1,0.0230541809782086,4.99901737293468,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
30,"bam_fe",1.05754225117495,0.0244422602566519,2.35421154061612,1,0.024401757803106,2.35811910106035,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
30,"bam_re",1.05759246983787,0.0244779580599317,2.35282982742502,1,0.0241709496517199,2.38271440169783,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
30,"bam_fd",1.08284202713017,0.0223659489313544,3.70393527162334,1,0.0224733793896904,3.68622919115464,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
31,"bam_fe",1.17035339607792,0.0228597579938289,7.45210846606112,1,0.0228566375601721,7.45312584274264,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
31,"bam_re",1.17341214171306,0.0228989552281978,7.57292810894338,1,0.0227156369462283,7.63404266952983,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
31,"bam_fd",1.15264624950967,0.022194239474768,6.87774184302252,1,0.0219798538314469,6.94482550613147,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
32,"bam_fe",1.1044291766444,0.0254052471246125,4.11053575397946,1,0.0253181620863849,4.12467446444548,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
32,"bam_re",1.10265951979439,0.0254336919812681,4.03635932486729,1,0.0251299505115582,4.08514611865936,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
32,"bam_fd",1.11385127779861,0.0227178789057125,5.01152762857528,1,0.0226168174269734,5.03392124759446,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
33,"bam_fe",1.11155529415087,0.02419183819307,4.61127812035472,1,0.0240563198009967,4.63725520252868,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
33,"bam_re",1.1162816581164,0.0241898446435411,4.80704443661844,1,0.0238265284040294,4.8803441334212,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
33,"bam_fd",1.10229216697063,0.0245011413641672,4.17499599101249,1,0.0243662733440528,4.19810471327554,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
34,"bam_fe",1.09443678766082,0.0230448595057148,4.09795458450944,1,0.0228561234943401,4.13179372627234,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
34,"bam_re",1.09693270889129,0.0230231621259563,4.21022570057843,1,0.0225792480012822,4.29299987695697,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
34,"bam_fd",1.07578791407318,0.0227304317098939,3.3342047806416,1,0.0225666844700972,3.35839826951988,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
35,"bam_fe",1.10398637904419,0.0247338026325732,4.20422126710296,1,0.0245099663616212,4.24261614683478,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
35,"bam_re",1.10456384611371,0.0247274958345348,4.22864679923109,1,0.0242476494894088,4.31232916656019,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
35,"bam_fd",1.07297986742599,0.0253221769905581,2.8820534448203,1,0.0249287299054376,2.92754054068629,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
36,"bam_fe",1.03006731063612,0.025020280354557,1.20171757510474,0,0.0249642659956693,1.20441396680098,0,NA,NA,NA,"hetero_ar1",0.5,"substantive"
36,"bam_re",1.03392399319324,0.0250061584049365,1.35662554175229,0,0.0246565597255889,1.37586076771424,0,NA,NA,NA,"hetero_ar1",0.5,"substantive"
36,"bam_fd",1.01832650588589,0.0241098929094793,0.760123902445292,0,0.0240178760430507,0.763036075839606,0,NA,NA,NA,"hetero_ar1",0.5,"substantive"
37,"bam_fe",1.08020448529687,0.024028810781021,3.33784663867828,1,0.023926307287987,3.35214641906471,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
37,"bam_re",1.08287752003509,0.0240538796540246,3.44549491504671,1,0.0236793991744066,3.49998407580645,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
37,"bam_fd",1.07964575903758,0.0226113114580904,3.52238565132331,1,0.0225527652280796,3.53152964756695,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
38,"bam_fe",1.11686806956922,0.0250248204581369,4.67008623557247,1,0.0250980044153878,4.65646860343862,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
38,"bam_re",1.1174000139195,0.0250501845569986,4.68659277349307,1,0.0248185990451268,4.7303239681673,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
38,"bam_fd",1.12536267804713,0.0223574783667711,5.60719218824992,1,0.0224526255912462,5.58343065659109,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
39,"bam_fe",1.0639766606716,0.0245090203819071,2.61033120356096,1,0.0242971676837142,2.6330912929611,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
39,"bam_re",1.06684280699354,0.0245060031691931,2.72760949764211,1,0.0240522808379807,2.77906313516795,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
39,"bam_fd",1.06786669829681,0.0226395707005744,2.9977025268897,1,0.0224813192967532,3.01880407466173,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
40,"bam_fe",1.10995501302403,0.0267613109928146,4.10873043751679,1,0.0265725972288013,4.13790989556914,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
40,"bam_re",1.11606456254695,0.0267481009493476,4.33917020003565,1,0.026291267102946,4.4145670915172,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
40,"bam_fd",1.14323595130977,0.0241015062014174,5.94302904195023,1,0.0239462581859705,5.98155879709362,1,NA,NA,NA,"hetero_ar1",0.5,"substantive"
