"model","method","se_type","x","point_coverage","df_correction"
"np","bam_fd","classic",0.05,0.998,"substantive"
"pl","bam_fd","classic",0.05,0.996,"substantive"
"np","bam_fe","classic",0.05,0.996,"substantive"
"pl","bam_fe","classic",0.05,0.999,"substantive"
"np","bam_re","classic",0.05,0.989,"substantive"
"pl","bam_re","classic",0.05,0.994,"substantive"
"np","bam_fd","penalty",0.05,0.953,"substantive"
"pl","bam_fd","penalty",0.05,0.944,"substantive"
"np","bam_fe","penalty",0.05,0.935,"substantive"
"pl","bam_fe","penalty",0.05,0.953,"substantive"
"np","bam_re","penalty",0.05,0.887,"substantive"
"pl","bam_re","penalty",0.05,0.884,"substantive"
"np","bam_fd","classic",0.0683673469387755,0.995,"substantive"
"pl","bam_fd","classic",0.0683673469387755,0.992,"substantive"
"np","bam_fe","classic",0.0683673469387755,0.991,"substantive"
"pl","bam_fe","classic",0.0683673469387755,0.995,"substantive"
"np","bam_re","classic",0.0683673469387755,0.979,"substantive"
"pl","bam_re","classic",0.0683673469387755,0.979,"substantive"
"np","bam_fd","penalty",0.0683673469387755,0.943,"substantive"
"pl","bam_fd","penalty",0.0683673469387755,0.944,"substantive"
"np","bam_fe","penalty",0.0683673469387755,0.941,"substantive"
"pl","bam_fe","penalty",0.0683673469387755,0.946,"substantive"
"np","bam_re","penalty",0.0683673469387755,0.886,"substantive"
"pl","bam_re","penalty",0.0683673469387755,0.889,"substantive"
"np","bam_fd","classic",0.086734693877551,0.989,"substantive"
"pl","bam_fd","classic",0.086734693877551,0.988,"substantive"
"np","bam_fe","classic",0.086734693877551,0.989,"substantive"
"pl","bam_fe","classic",0.086734693877551,0.993,"substantive"
"np","bam_re","classic",0.086734693877551,0.966,"substantive"
"pl","bam_re","classic",0.086734693877551,0.973,"substantive"
"np","bam_fd","penalty",0.086734693877551,0.943,"substantive"
"pl","bam_fd","penalty",0.086734693877551,0.936,"substantive"
"np","bam_fe","penalty",0.086734693877551,0.937,"substantive"
"pl","bam_fe","penalty",0.086734693877551,0.949,"substantive"
"np","bam_re","penalty",0.086734693877551,0.892,"substantive"
"pl","bam_re","penalty",0.086734693877551,0.883,"substantive"
"np","bam_fd","classic",0.105102040816327,0.996,"substantive"
"pl","bam_fd","classic",0.105102040816327,0.995,"substantive"
"np","bam_fe","classic",0.105102040816327,0.991,"substantive"
"pl","bam_fe","classic",0.105102040816327,0.998,"substantive"
"np","bam_re","classic",0.105102040816327,0.986,"substantive"
"pl","bam_re","classic",0.105102040816327,0.989,"substantive"
"np","bam_fd","penalty",0.105102040816327,0.94,"substantive"
"pl","bam_fd","penalty",0.105102040816327,0.94,"substantive"
"np","bam_fe","penalty",0.105102040816327,0.943,"substantive"
"pl","bam_fe","penalty",0.105102040816327,0.954,"substantive"
"np","bam_re","penalty",0.105102040816327,0.882,"substantive"
"pl","bam_re","penalty",0.105102040816327,0.888,"substantive"
"np","bam_fd","classic",0.123469387755102,0.995,"substantive"
"pl","bam_fd","classic",0.123469387755102,0.996,"substantive"
"np","bam_fe","classic",0.123469387755102,0.996,"substantive"
"pl","bam_fe","classic",0.123469387755102,0.996,"substantive"
"np","bam_re","classic",0.123469387755102,0.988,"substantive"
"pl","bam_re","classic",0.123469387755102,0.987,"substantive"
"np","bam_fd","penalty",0.123469387755102,0.936,"substantive"
"pl","bam_fd","penalty",0.123469387755102,0.943,"substantive"
"np","bam_fe","penalty",0.123469387755102,0.938,"substantive"
"pl","bam_fe","penalty",0.123469387755102,0.95,"substantive"
"np","bam_re","penalty",0.123469387755102,0.88,"substantive"
"pl","bam_re","penalty",0.123469387755102,0.889,"substantive"
"np","bam_fd","classic",0.141836734693878,0.99,"substantive"
"pl","bam_fd","classic",0.141836734693878,0.994,"substantive"
"np","bam_fe","classic",0.141836734693878,0.995,"substantive"
"pl","bam_fe","classic",0.141836734693878,0.994,"substantive"
"np","bam_re","classic",0.141836734693878,0.989,"substantive"
"pl","bam_re","classic",0.141836734693878,0.985,"substantive"
"np","bam_fd","penalty",0.141836734693878,0.932,"substantive"
"pl","bam_fd","penalty",0.141836734693878,0.944,"substantive"
"np","bam_fe","penalty",0.141836734693878,0.935,"substantive"
"pl","bam_fe","penalty",0.141836734693878,0.945,"substantive"
"np","bam_re","penalty",0.141836734693878,0.891,"substantive"
"pl","bam_re","penalty",0.141836734693878,0.889,"substantive"
"np","bam_fd","classic",0.160204081632653,0.995,"substantive"
"pl","bam_fd","classic",0.160204081632653,0.992,"substantive"
"np","bam_fe","classic",0.160204081632653,0.995,"substantive"
"pl","bam_fe","classic",0.160204081632653,0.995,"substantive"
"np","bam_re","classic",0.160204081632653,0.988,"substantive"
"pl","bam_re","classic",0.160204081632653,0.987,"substantive"
"np","bam_fd","penalty",0.160204081632653,0.934,"substantive"
"pl","bam_fd","penalty",0.160204081632653,0.949,"substantive"
"np","bam_fe","penalty",0.160204081632653,0.947,"substantive"
"pl","bam_fe","penalty",0.160204081632653,0.946,"substantive"
"np","bam_re","penalty",0.160204081632653,0.907,"substantive"
"pl","bam_re","penalty",0.160204081632653,0.89,"substantive"
"np","bam_fd","classic",0.178571428571429,0.99,"substantive"
"pl","bam_fd","classic",0.178571428571429,0.992,"substantive"
"np","bam_fe","classic",0.178571428571429,0.995,"substantive"
