"n","T","kind","error","K","id","chunk","sim_first","sim_last","M","J","B","rng_scheme","master_seed","design_seed","R","mgcv","started","finished","elapsed_seconds","chunk_md5","status"
200,4,"diag","hetero",20,"diag_200_4_hetero_20",1,1,125,1000,50,499,"paired-replication-v1",20260903,220303550,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 16:24:08 UTC","2026-09-03 16:25:49 UTC",101.581431150436,"761eb5d455955c6d9893014ddb4341c6","complete"
200,4,"diag","hetero",20,"diag_200_4_hetero_20",2,126,250,1000,50,499,"paired-replication-v1",20260903,220303550,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 16:27:18 UTC","2026-09-03 16:29:03 UTC",104.616522073746,"74c1a4ea8b8bcd6a58a01ef889b13a5e","complete"
200,4,"diag","hetero",20,"diag_200_4_hetero_20",3,251,375,1000,50,499,"paired-replication-v1",20260903,220303550,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 16:37:03 UTC","2026-09-03 16:38:43 UTC",99.6941618919373,"0bfa192bcba23a23e561ae0f44e4f653","complete"
200,4,"diag","hetero",20,"diag_200_4_hetero_20",4,376,500,1000,50,499,"paired-replication-v1",20260903,220303550,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 16:42:19 UTC","2026-09-03 16:44:19 UTC",119.309669017792,"fe64b0e7e2edaaa633d076fc01d72ebb","complete"
200,4,"diag","hetero",20,"diag_200_4_hetero_20",5,501,625,1000,50,499,"paired-replication-v1",20260903,220303550,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 16:53:05 UTC","2026-09-03 16:55:16 UTC",131.794085979462,"33641fab6de703964979e26818499b5e","complete"
200,4,"diag","hetero",20,"diag_200_4_hetero_20",6,626,750,1000,50,499,"paired-replication-v1",20260903,220303550,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 16:57:43 UTC","2026-09-03 16:59:47 UTC",124.054991006851,"3766ffc442aae82a055f1f2d1f5a045f","complete"
200,4,"diag","hetero",20,"diag_200_4_hetero_20",7,751,875,1000,50,499,"paired-replication-v1",20260903,220303550,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 17:02:07 UTC","2026-09-03 17:04:10 UTC",123.801702022552,"84a25b4d84b4c80a0bf87c8adb9b6e24","complete"
200,4,"diag","hetero",20,"diag_200_4_hetero_20",8,876,1000,1000,50,499,"paired-replication-v1",20260903,220303550,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 17:09:32 UTC","2026-09-03 17:11:39 UTC",126.209169864655,"2251f67f1e9acce266d2c9fa2c089b47","complete"
200,4,"diag","hetero_ar1",20,"diag_200_4_hetero_ar1_20",1,1,125,1000,50,499,"paired-replication-v1",20260903,220304559,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 16:24:08 UTC","2026-09-03 16:25:51 UTC",102.965971946716,"95331c94d20fd3c4dc79fc68408a748b","complete"
200,4,"diag","hetero_ar1",20,"diag_200_4_hetero_ar1_20",2,126,250,1000,50,499,"paired-replication-v1",20260903,220304559,"R version 4.6.0 (2026-04-24)","1.9.4","2026-09-03 16:28:30 UTC","2026-09-03 16:30:16 UTC",106.67307305336,"89d178ce89053af16d710353427b001d","complete"
