"type","file","rows","min_success","max_success"
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n200_T4_baseline_btrue1_bnull1_hetero_ar1_rho0p5_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n200_T4_baseline_btrue1_bnull1_hetero_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n200_T4_baseline_btrue1p075_bnull1_hetero_ar1_rho0p5_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n200_T4_baseline_btrue1p075_bnull1_hetero_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n200_T8_baseline_btrue1_bnull1_hetero_ar1_rho0p5_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n200_T8_baseline_btrue1_bnull1_hetero_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n200_T8_baseline_btrue1p075_bnull1_hetero_ar1_rho0p5_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n200_T8_baseline_btrue1p075_bnull1_hetero_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n500_T4_baseline_btrue1_bnull1_hetero_ar1_rho0p5_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n500_T4_baseline_btrue1_bnull1_hetero_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n500_T4_baseline_btrue1p075_bnull1_hetero_ar1_rho0p5_dfsubstantive.csv",15,1000,1000
"beta","panel_fe_beta_diagnostics_summary_M1000_B0_n500_T4_baseline_btrue1p075_bnull1_hetero_dfsubstantive.csv",15,1000,1000
"g","panel_fe_g_diagnostics_summary_M1000_n200_T4_sin_2pi_np_pl_J50_hetero_ar1_rho0p5_dfsubstantive.csv",30,1000,1000
"g","panel_fe_g_diagnostics_summary_M1000_n200_T4_sin_2pi_np_pl_J50_hetero_dfsubstantive.csv",30,1000,1000
"g","panel_fe_g_diagnostics_summary_M1000_n200_T8_sin_2pi_np_pl_J50_hetero_ar1_rho0p5_dfsubstantive.csv",30,1000,1000
"g","panel_fe_g_diagnostics_summary_M1000_n200_T8_sin_2pi_np_pl_J50_hetero_dfsubstantive.csv",30,1000,1000
"g","panel_fe_g_diagnostics_summary_M1000_n500_T4_sin_2pi_np_pl_J50_hetero_ar1_rho0p5_dfsubstantive.csv",30,1000,1000
"g","panel_fe_g_diagnostics_summary_M1000_n500_T4_sin_2pi_np_pl_J50_hetero_dfsubstantive.csv",30,1000,1000
