"sim","method","vcov_type","beta_hat","variance","se","t_stat","reject","beta_covered","delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
1,"bam_fe","classic_cluster",1.03783747431268,0.0016581927831236,0.0407209133385243,0.9291902172755,0,1,3.66863099592009e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
1,"bam_fe","penalty_cluster",1.03783747431268,0.00159899794366323,0.0399874723340102,0.946233210157136,0,1,3.66863099592009e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
1,"bam_fe","penalty_cluster_delta",1.03783747431268,0.00160266657465915,0.0400333183068698,0.945149588216553,0,1,3.66863099592009e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
1,"bam_fe","mgcv_sandwich_freq",1.03783747431268,0.00163020975436603,0.0403758560821443,0.937131196319408,0,1,3.66863099592009e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
1,"bam_fe","mgcv_sandwich_default",1.03783747431268,0.00163387838536195,0.0404212615508466,0.93607851068883,0,1,3.66863099592009e-06,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
1,"bam_re","classic_cluster",1.04385987518599,0.00165424215815083,0.0406723758606604,1.07837012856707,0,1,1.6928346751001e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
1,"bam_re","penalty_cluster",1.04385987518599,0.00156745991736659,0.0395911595860312,1.10781991850179,0,1,1.6928346751001e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
1,"bam_re","penalty_cluster_delta",1.04385987518599,0.00158438826411759,0.0398043749369035,1.10188579158733,0,1,1.6928346751001e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
1,"bam_re","mgcv_sandwich_freq",1.04385987518599,0.00158358932309979,0.0397943378271305,1.10216371425802,0,1,1.6928346751001e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
1,"bam_re","mgcv_sandwich_default",1.04385987518599,0.00160051766985079,0.040006470349817,1.09631954037628,0,1,1.6928346751001e-05,"hetero_ar1",0.5,"substantive",1000,200,4,20,"baseline",1.075,1
