"sim","method","vcov_type","beta_hat","variance","se","t_stat","reject","beta_covered","delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
1,"bam_fe","classic_cluster",1.00082961694713,0.000683814226364207,0.0261498418038084,0.031725505391499,0,1,1.7676949967501e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fe","penalty_cluster",1.00082961694713,0.000667284486320871,0.0258318502303043,0.0321160482016235,0,1,1.7676949967501e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fe","penalty_cluster_delta",1.00082961694713,0.000669052181317622,0.0258660430162331,0.0320735934218047,0,1,1.7676949967501e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fe","mgcv_sandwich_freq",1.00082961694713,0.000745262644800884,0.0272994989844298,0.0303894568763603,0,1,1.7676949967501e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fe","mgcv_sandwich_default",1.00082961694713,0.000747030339797634,0.0273318557693698,0.0303534803539869,0,1,1.7676949967501e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","classic_cluster",1.00391082411768,0.000686886073246951,0.0262085114656852,0.149219619847619,0,1,3.92759733892044e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","penalty_cluster",1.00391082411768,0.000666243257570725,0.0258116883905475,0.151513688624635,0,1,3.92759733892044e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","penalty_cluster_delta",1.00391082411768,0.000670170854909645,0.025887658351223,0.151069056328795,0,1,3.92759733892044e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","mgcv_sandwich_freq",1.00391082411768,0.000740904740686786,0.0272195654022394,0.143676949278542,0,1,3.92759733892044e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","mgcv_sandwich_default",1.00391082411768,0.000744832338025707,0.0272916166253615,0.143297634997821,0,1,3.92759733892044e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fd","classic_cluster",0.992415664631114,0.00059761972200031,0.0244462619228443,-0.31024519792935,0,1,1.8765868613727e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fd","penalty_cluster",0.992415664631114,0.000585963017204719,0.0242066729891722,-0.313315893195158,0,1,1.8765868613727e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fd","penalty_cluster_delta",0.992415664631114,0.000587839604066092,0.0242454037719748,-0.312815387205565,0,1,1.8765868613727e-06,"hetero_ar1",0.5,"substantive",1000,200,8,20,"baseline",1,1
