"sim","method","vcov_type","beta_hat","variance","se","t_stat","reject","beta_covered","delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
1,"bam_fe","classic_cluster",1.00726875143701,0.000886435511252632,0.0297730668768374,0.244138484862214,0,1,2.21249677665684e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fe","penalty_cluster",1.00726875143701,0.000874933988365625,0.0295792830941797,0.245737917780797,0,1,2.21249677665684e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fe","penalty_cluster_delta",1.00726875143701,0.000877146485142281,0.0296166589125492,0.245427799890437,0,1,2.21249677665684e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fe","mgcv_sandwich_freq",1.00726875143701,0.000943060280578387,0.0307092865527414,0.236695548902733,0,1,2.21249677665684e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fe","mgcv_sandwich_default",1.00726875143701,0.000945272777355043,0.0307452887017677,0.236418382911283,0,1,2.21249677665684e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","classic_cluster",1.01111644886564,0.000891936553747148,0.0298653068584126,0.372219475873651,0,1,6.0510265338968e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","penalty_cluster",1.01111644886564,0.000873752822478112,0.0295593102503782,0.376072674615332,0,1,6.0510265338968e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","penalty_cluster_delta",1.01111644886564,0.000879803849012009,0.0296614876399012,0.374777185844518,0,1,6.0510265338968e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","mgcv_sandwich_freq",1.01111644886564,0.000936743521835542,0.0306062660550996,0.363208267406141,0,1,6.0510265338968e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_re","mgcv_sandwich_default",1.01111644886564,0.000942794548369439,0.0307049596705392,0.36204082288081,0,1,6.0510265338968e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fd","classic_cluster",0.994983529310097,0.00126094029519532,0.0355097211365468,-0.141270348776124,0,1,2.95784648480862e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fd","penalty_cluster",0.994983529310097,0.00123163675109577,0.0350946826612775,-0.142941047175727,0,1,2.95784648480862e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fd","penalty_cluster_delta",0.994983529310097,0.00123459459758058,0.0351367983399254,-0.142769715139433,0,1,2.95784648480862e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fd","mgcv_sandwich_freq",0.994983529310097,0.000918516868569951,0.0303070432172119,-0.165521613373815,0,1,2.95784648480862e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
1,"bam_fd","mgcv_sandwich_default",0.994983529310097,0.00092147471505476,0.0303558019998609,-0.16525574550545,0,1,2.95784648480862e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fe","classic_cluster",1.0164633016395,0.000866460159592587,0.0294356953305436,0.559297188485961,0,1,9.4986061467022e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fe","penalty_cluster",1.0164633016395,0.000857921988715507,0.0292903053708135,0.562073403847381,0,1,9.4986061467022e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fe","penalty_cluster_delta",1.0164633016395,0.000858871849330177,0.0293065154757466,0.561762508174232,0,1,9.4986061467022e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fe","mgcv_sandwich_freq",1.0164633016395,0.000929928398664155,0.030494727391209,0.539873710897589,0,1,9.4986061467022e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fe","mgcv_sandwich_default",1.0164633016395,0.000930878259278825,0.0305102975940718,0.539598199222456,0,1,9.4986061467022e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_re","classic_cluster",1.01775170822778,0.000867067893796683,0.0294460166032128,0.602856015025297,0,1,4.36487946339336e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_re","penalty_cluster",1.01775170822778,0.000850158799110629,0.0291574827293206,0.608821700850416,0,1,4.36487946339336e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_re","penalty_cluster_delta",1.01775170822778,0.000854523678574022,0.0292322369751961,0.607264789309287,0,1,4.36487946339336e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_re","mgcv_sandwich_freq",1.01775170822778,0.000920569800523607,0.0303408932057645,0.585075334051436,0,1,4.36487946339336e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_re","mgcv_sandwich_default",1.01775170822778,0.000924934679987,0.0304127387781338,0.583693180587366,0,1,4.36487946339336e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fd","classic_cluster",1.05381519980067,0.00119110072765979,0.0345123271840626,1.55930370947338,0,1,2.45494996653668e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fd","penalty_cluster",1.05381519980067,0.00116994525254171,0.0342044624653233,1.57333856233601,0,1,2.45494996653668e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fd","penalty_cluster_delta",1.05381519980067,0.00117240020250825,0.0342403300584011,1.57169045125673,0,1,2.45494996653668e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fd","mgcv_sandwich_freq",1.05381519980067,0.000960576284532041,0.0309931651260732,1.73635701877364,0,1,2.45494996653668e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
2,"bam_fd","mgcv_sandwich_default",1.05381519980067,0.000963031234498578,0.03103274455311,1.734142454225,0,1,2.45494996653668e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","classic_cluster",1.00044776227041,0.000895867895771629,0.0299310523665913,0.0149597904185806,0,1,9.53798902107706e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","penalty_cluster",1.00044776227041,0.000896521533565739,0.0299419694336518,0.0149543359665756,0,1,9.53798902107706e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","penalty_cluster_delta",1.00044776227041,0.000897475332467847,0.0299578926573257,0.0149463874356421,0,1,9.53798902107706e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","mgcv_sandwich_freq",1.00044776227041,0.000852155054819762,0.0291916949631186,0.0153386869442655,0,1,9.53798902107706e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fe","mgcv_sandwich_default",1.00044776227041,0.000853108853721869,0.0292080272137964,0.0153301100116843,0,1,9.53798902107706e-07,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_re","classic_cluster",1.00300604319245,0.000896836645910156,0.0299472310224194,0.100378001231631,0,1,4.57374259721756e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_re","penalty_cluster",1.00300604319245,0.000889508063930734,0.0298246217734732,0.100790655964864,0,1,4.57374259721756e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_re","penalty_cluster_delta",1.00300604319245,0.000894081806527951,0.0299012007539489,0.100532524335343,0,1,4.57374259721756e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_re","mgcv_sandwich_freq",1.00300604319245,0.000842210520285759,0.0290208635344601,0.103582141478419,0,1,4.57374259721756e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_re","mgcv_sandwich_default",1.00300604319245,0.000846784262882976,0.0290995577781343,0.103302023191264,0,1,4.57374259721756e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","classic_cluster",0.996409671872028,0.0011571974477629,0.0340176049680588,-0.105543236548946,0,1,1.31851683685276e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","penalty_cluster",0.996409671872028,0.00114982986940228,0.0339091413840322,-0.105880832761608,0,1,1.31851683685276e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","penalty_cluster_delta",0.996409671872028,0.00115114838623914,0.0339285777220198,-0.105820177827328,0,1,1.31851683685276e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","mgcv_sandwich_freq",0.996409671872028,0.000834040681249287,0.0288797624860262,-0.124319863423727,0,1,1.31851683685276e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
3,"bam_fd","mgcv_sandwich_default",0.996409671872028,0.00083535919808614,0.0289025811665003,-0.124221712493064,0,1,1.31851683685276e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","classic_cluster",0.937554196564484,0.0010422620305275,0.0322840832381454,-1.93425977051541,0,1,1.71172605363578e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","penalty_cluster",0.937554196564484,0.00100346844077418,0.03167756999478,-1.97129399274647,1,0,1.71172605363578e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","penalty_cluster_delta",0.937554196564484,0.00100518016682782,0.0317045764335028,-1.96961481464638,1,0,1.71172605363578e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","mgcv_sandwich_freq",0.937554196564484,0.000928495944870212,0.0304712314301574,-2.04933639057701,1,0,1.71172605363578e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fe","mgcv_sandwich_default",0.937554196564484,0.000930207670923847,0.0304993060728248,-2.04744997431779,1,0,1.71172605363578e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","classic_cluster",0.937214989622899,0.00104257601327937,0.0322889456823752,-1.94447384546757,0,1,4.64687107748875e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","penalty_cluster",0.937214989622899,0.000995296882813031,0.0315483261491482,-1.99012176051047,1,0,4.64687107748875e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","penalty_cluster_delta",0.937214989622899,0.00099994375389052,0.0316218872601007,-1.98549219598038,1,0,4.64687107748875e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","mgcv_sandwich_freq",0.937214989622899,0.000928119946939681,0.0304650610854415,-2.0608857537169,1,0,4.64687107748875e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_re","mgcv_sandwich_default",0.937214989622899,0.00093276681801717,0.0305412314423824,-2.05574586917192,1,0,4.64687107748875e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","classic_cluster",0.953132142712065,0.00143301006908317,0.0378551194567283,-1.2380850453136,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","penalty_cluster",0.953132142712065,0.00139320676441853,0.0373256850495545,-1.25564627215046,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","penalty_cluster_delta",0.953132142712065,0.00139532453361322,0.0373540430691675,-1.25469302482602,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","mgcv_sandwich_freq",0.953132142712065,0.000961311599015214,0.0310050253832377,-1.51162131650031,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
4,"bam_fd","mgcv_sandwich_default",0.953132142712065,0.0009634293682099,0.0310391586259986,-1.50995901186182,0,1,2.11776919468683e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","classic_cluster",0.976509487091226,0.000739263081188532,0.0271893928065437,-0.863958716397687,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","penalty_cluster",0.976509487091226,0.000736108946362954,0.0271313277663102,-0.865807715387336,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","penalty_cluster_delta",0.976509487091226,0.00073716332556235,0.0271507518415669,-0.865188302918772,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","mgcv_sandwich_freq",0.976509487091226,0.000900697879726958,0.0300116290748596,-0.782713689089665,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fe","mgcv_sandwich_default",0.976509487091226,0.000901752258926353,0.0300291901143929,-0.782255958928279,0,1,1.0543791993952e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","classic_cluster",0.978543603480857,0.000743756789477289,0.0272719047643777,-0.786758266594157,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","penalty_cluster",0.978543603480857,0.000733248459840179,0.0270785608893859,-0.792375806335895,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","penalty_cluster_delta",0.978543603480857,0.000738164934518157,0.0271691909065794,-0.789732627405802,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","mgcv_sandwich_freq",0.978543603480857,0.000891654574387169,0.0298605856336939,-0.718552435051103,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_re","mgcv_sandwich_default",0.978543603480857,0.000896571049065147,0.0299427962799927,-0.716579584568712,0,1,4.91647467797801e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","classic_cluster",0.974479552206052,0.00133348234260888,0.0365168775035445,-0.698867196174456,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","penalty_cluster",0.974479552206052,0.00131156298820759,0.036215507565235,-0.704682869568465,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","penalty_cluster_delta",0.974479552206052,0.0013135640085559,0.0362431236037389,-0.704145924975283,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","mgcv_sandwich_freq",0.974479552206052,0.00100347884870076,0.031677734273473,-0.805627308242154,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
5,"bam_fd","mgcv_sandwich_default",0.974479552206052,0.00100547986904907,0.0317093025632711,-0.804825263596577,0,1,2.00102034830416e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fe","classic_cluster",0.97580482095045,0.000859782913010938,0.0293220550611811,-0.82515290961243,0,1,1.41718346095907e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fe","penalty_cluster",0.97580482095045,0.000845176896197257,0.0290719262553629,-0.832252353594431,0,1,1.41718346095907e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
6,"bam_fe","penalty_cluster_delta",0.97580482095045,0.000846594079658216,0.0290962897919686,-0.831555473998202,0,1,1.41718346095907e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
