"sim","method","vcov_type","beta_hat","variance","se","t_stat","reject","beta_covered","delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
1,"bam_fe","classic_cluster",1.06980601614226,0.000939105987397845,0.0306448362272968,2.27790468921091,1,1,6.39100674098701e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fe","penalty_cluster",1.06980601614226,0.000932410896066036,0.0305354039774495,2.28606820442958,1,1,6.39100674098701e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fe","penalty_cluster_delta",1.06980601614226,0.000933049996740135,0.0305458670975328,2.28528513920949,1,1,6.39100674098701e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fe","mgcv_sandwich_freq",1.06980601614226,0.000866880876954299,0.0294428408438163,2.37089948325828,1,1,6.39100674098701e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fe","mgcv_sandwich_default",1.06980601614226,0.000867519977628398,0.0294536920882323,2.37002600329857,1,1,6.39100674098701e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","classic_cluster",1.0749256806539,0.000941287463765161,0.0306804084680299,2.44213439113671,1,1,1.04659196869631e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","penalty_cluster",1.0749256806539,0.000908637878956601,0.0301436208667207,2.48562311028194,1,1,1.04659196869631e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","penalty_cluster_delta",1.0749256806539,0.000919103798643564,0.0303167247347659,2.47143058194464,1,1,1.04659196869631e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","mgcv_sandwich_freq",1.0749256806539,0.000851831266936111,0.0291861485457761,2.56716574084391,1,1,1.04659196869631e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_re","mgcv_sandwich_default",1.0749256806539,0.000862297186623074,0.029364897183935,2.55153900878932,1,1,1.04659196869631e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","classic_cluster",1.05092411943129,0.00122652502397441,0.0350217792805336,1.4540700237808,0,1,5.93431934349845e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","penalty_cluster",1.05092411943129,0.00121408670284444,0.034843746969068,1.46149951888063,0,1,5.93431934349845e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","penalty_cluster_delta",1.05092411943129,0.00121468013477879,0.0348522615446801,1.46114246749834,0,1,5.93431934349845e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","mgcv_sandwich_freq",1.05092411943129,0.00086176871937199,0.0293558975228486,1.73471512467488,0,1,5.93431934349845e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
1,"bam_fd","mgcv_sandwich_default",1.05092411943129,0.00086236215130634,0.0293660033253819,1.73411815244454,0,1,5.93431934349845e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fe","classic_cluster",1.0509662148434,0.000978397466072795,0.0312793456784632,1.62938877837484,0,1,1.03603631431369e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fe","penalty_cluster",1.0509662148434,0.000976090803833695,0.0312424519497701,1.63131289840298,0,1,1.03603631431369e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fe","penalty_cluster_delta",1.0509662148434,0.000977126840148009,0.0312590281382517,1.63044783791688,0,1,1.03603631431369e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fe","mgcv_sandwich_freq",1.0509662148434,0.00091348823494749,0.0302239678888707,1.68628470724926,0,1,1.03603631431369e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fe","mgcv_sandwich_default",1.0509662148434,0.000914524271261804,0.0302411023486546,1.6853292666318,0,1,1.03603631431369e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_re","classic_cluster",1.0552098218739,0.000977490567570783,0.0312648455548845,1.76587540715604,0,1,1.28962886942217e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_re","penalty_cluster",1.0552098218739,0.000945063458103203,0.0307418844266776,1.79591534167605,0,1,1.28962886942217e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_re","penalty_cluster_delta",1.0552098218739,0.000957959746797425,0.0309509248132818,1.78378585476743,0,1,1.28962886942217e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_re","mgcv_sandwich_freq",1.0552098218739,0.000890967642686873,0.0298490811028895,1.84963221090775,0,1,1.28962886942217e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_re","mgcv_sandwich_default",1.0552098218739,0.000903863931381095,0.0300643298841184,1.83638957151901,0,1,1.28962886942217e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fd","classic_cluster",1.02643745825731,0.00127678734965934,0.0357321612788723,0.739878510313946,0,1,1.27217933750196e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fd","penalty_cluster",1.02643745825731,0.0012568382227373,0.0354519142323415,0.745727242936625,0,1,1.27217933750196e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fd","penalty_cluster_delta",1.02643745825731,0.0012581104020748,0.0354698520165337,0.745350114372801,0,1,1.27217933750196e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fd","mgcv_sandwich_freq",1.02643745825731,0.000892562447128259,0.0298757836236685,0.88491262991894,0,1,1.27217933750196e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
2,"bam_fd","mgcv_sandwich_default",1.02643745825731,0.000893834626465761,0.0298970671883675,0.884282665277486,0,1,1.27217933750196e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fe","classic_cluster",1.04470673216514,0.00100548705749763,0.0317094159122749,1.40988822653884,0,1,9.01238874358645e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fe","penalty_cluster",1.04470673216514,0.000990599679882068,0.0314737935413269,1.42044307771281,0,1,9.01238874358645e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fe","penalty_cluster_delta",1.04470673216514,0.000991500918756426,0.0314881075766142,1.41979736496908,0,1,9.01238874358645e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fe","mgcv_sandwich_freq",1.04470673216514,0.000906143726309187,0.0301022212853003,1.4851638934357,0,1,9.01238874358645e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fe","mgcv_sandwich_default",1.04470673216514,0.000907044965183546,0.0301171872057061,1.4844258814671,0,1,9.01238874358645e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_re","classic_cluster",1.05288222548732,0.00101029001487869,0.0317850596173531,1.66374473176864,0,1,1.11777692381135e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_re","penalty_cluster",1.05288222548732,0.0009656032517884,0.0310741572981215,1.70180722778668,0,1,1.11777692381135e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_re","penalty_cluster_delta",1.05288222548732,0.000976781021026514,0.0312534961408562,1.69204191585443,0,1,1.11777692381135e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_re","mgcv_sandwich_freq",1.05288222548732,0.000893395214722524,0.0298897175416986,1.76924473821301,0,1,1.11777692381135e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_re","mgcv_sandwich_default",1.05288222548732,0.000904572983960638,0.0300761198288715,1.75827951837588,0,1,1.11777692381135e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fd","classic_cluster",1.05357137401329,0.001192980152845,0.0345395447689312,1.55101563647348,0,1,1.15648746477383e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fd","penalty_cluster",1.05357137401329,0.00116948923984142,0.0341977958330857,1.56651540569345,0,1,1.15648746477383e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fd","penalty_cluster_delta",1.05357137401329,0.00117064572730619,0.034214700456181,1.5657414298248,0,1,1.15648746477383e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fd","mgcv_sandwich_freq",1.05357137401329,0.000878608866247133,0.0296413371197578,1.80731975068626,0,1,1.15648746477383e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
3,"bam_fd","mgcv_sandwich_default",1.05357137401329,0.000879765353711907,0.0296608387223272,1.80613146225573,0,1,1.15648746477383e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fe","classic_cluster",1.07843717578937,0.000833906752360821,0.0288774436604216,2.71620911849856,1,1,1.20304761176151e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fe","penalty_cluster",1.07843717578937,0.000821168168278742,0.0286560319702282,2.73719598969099,1,1,1.20304761176151e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fe","penalty_cluster_delta",1.07843717578937,0.000822371215890503,0.0286770154634422,2.7351931336564,1,1,1.20304761176151e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fe","mgcv_sandwich_freq",1.07843717578937,0.000811512534632354,0.028487059073066,2.75343185086895,1,1,1.20304761176151e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fe","mgcv_sandwich_default",1.07843717578937,0.000812715582244116,0.0285081669393898,2.75139316940749,1,1,1.20304761176151e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_re","classic_cluster",1.08669823307919,0.000832184749605077,0.0288476125460163,3.00538676956007,1,1,1.4136718168858e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_re","penalty_cluster",1.08669823307919,0.000791933319026254,0.0281413098313894,3.08081726112434,1,1,1.4136718168858e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_re","penalty_cluster_delta",1.08669823307919,0.000806070037195112,0.0283913725838522,3.05368234040586,1,1,1.4136718168858e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_re","mgcv_sandwich_freq",1.08669823307919,0.000774285587882561,0.0278259876353484,3.11572887242488,1,1,1.4136718168858e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_re","mgcv_sandwich_default",1.08669823307919,0.000788422306051419,0.0280788587027931,3.08766940981716,1,1,1.4136718168858e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fd","classic_cluster",1.06628290341397,0.00129978638087449,0.0360525502686633,1.83850803674166,0,1,1.91213091886491e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fd","penalty_cluster",1.06628290341397,0.00128064773333965,0.0357861388436871,1.85219488762094,0,1,1.91213091886491e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fd","penalty_cluster_delta",1.06628290341397,0.00128255986425851,0.0358128449618082,1.85081368108722,0,1,1.91213091886491e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fd","mgcv_sandwich_freq",1.06628290341397,0.000887754651307213,0.0297952118855902,2.22461594394724,1,1,1.91213091886491e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
4,"bam_fd","mgcv_sandwich_default",1.06628290341397,0.000889666782226078,0.0298272825149405,2.22222401188472,1,1,1.91213091886491e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fe","classic_cluster",1.07269249708416,0.000915108416241478,0.0302507589366197,2.40299746649213,1,1,8.85865915243212e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fe","penalty_cluster",1.07269249708416,0.000895720819427529,0.029928595346717,2.42886430993613,1,1,8.85865915243212e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fe","penalty_cluster_delta",1.07269249708416,0.000896606685342772,0.0299433913467191,2.42766412937145,1,1,8.85865915243212e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fe","mgcv_sandwich_freq",1.07269249708416,0.000915824388080254,0.0302625905712028,2.40205797693122,1,1,8.85865915243212e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fe","mgcv_sandwich_default",1.07269249708416,0.000916710253995497,0.0302772233534632,2.40089707816112,1,1,8.85865915243212e-07,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_re","classic_cluster",1.07884591014439,0.000913825046844515,0.0302295393091677,2.6082405470361,1,1,1.51819827705079e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_re","penalty_cluster",1.07884591014439,0.000860116433359491,0.0293277417023454,2.68844123576304,1,1,1.51819827705079e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_re","penalty_cluster_delta",1.07884591014439,0.000875298416129999,0.029585442638737,2.66502384659805,1,1,1.51819827705079e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_re","mgcv_sandwich_freq",1.07884591014439,0.000892271428849173,0.0298709127555415,2.6395547665267,1,1,1.51819827705079e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_re","mgcv_sandwich_default",1.07884591014439,0.00090745341161968,0.0301239673950773,2.61738133992528,1,1,1.51819827705079e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fd","classic_cluster",1.08317275463383,0.00137303677055252,0.0370545107989907,2.24460538920668,1,1,1.99164360948452e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fd","penalty_cluster",1.08317275463383,0.00129225673730854,0.0359479726453181,2.31369806176439,1,1,1.99164360948452e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fd","penalty_cluster_delta",1.08317275463383,0.00129424838091802,0.0359756637314452,2.31191716863678,1,1,1.99164360948452e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fd","mgcv_sandwich_freq",1.08317275463383,0.000969951824002329,0.0311440495761603,2.67058252750463,1,1,1.99164360948452e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
5,"bam_fd","mgcv_sandwich_default",1.08317275463383,0.000971943467611813,0.0311760078844584,2.66784493197714,1,1,1.99164360948452e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fe","classic_cluster",1.07575145042624,0.000904170519594867,0.0300694283217168,2.51921817787051,1,1,1.29616676779784e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fe","penalty_cluster",1.07575145042624,0.00089426038287353,0.0299041867114545,2.53313862561016,1,1,1.29616676779784e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fe","penalty_cluster_delta",1.07575145042624,0.000895556549641328,0.0299258508591039,2.53130481679182,1,1,1.29616676779784e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fe","mgcv_sandwich_freq",1.07575145042624,0.000927380185717349,0.0304529175238982,2.48749402637027,1,1,1.29616676779784e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fe","mgcv_sandwich_default",1.07575145042624,0.000928676352485146,0.0304741915805021,2.48575750487538,1,1,1.29616676779784e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_re","classic_cluster",1.08610135715916,0.000904832216846583,0.0300804291333515,2.86237130386206,1,1,1.47288212084146e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_re","penalty_cluster",1.08610135715916,0.00086721962992328,0.0294485930041365,2.92378509041391,1,1,1.47288212084146e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_re","penalty_cluster_delta",1.08610135715916,0.000881948451131694,0.0296976169268124,2.89926822651637,1,1,1.47288212084146e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_re","mgcv_sandwich_freq",1.08610135715916,0.000892231317348782,0.0298702413339561,2.88251293976935,1,1,1.47288212084146e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_re","mgcv_sandwich_default",1.08610135715916,0.000906960138557196,0.0301157788967378,2.85901146553073,1,1,1.47288212084146e-05,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fd","classic_cluster",1.07485758694142,0.00126014918970476,0.0354985801082911,2.10874876440313,1,1,2.54108843949488e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fd","penalty_cluster",1.07485758694142,0.00123771109620711,0.0351811184615712,2.12777734804515,1,1,2.54108843949488e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fd","penalty_cluster_delta",1.07485758694142,0.0012402521846466,0.0352172143226377,2.12559648402701,1,1,2.54108843949488e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fd","mgcv_sandwich_freq",1.07485758694142,0.000933417404798895,0.0305518805443936,2.45017935418581,1,1,2.54108843949488e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
6,"bam_fd","mgcv_sandwich_default",1.07485758694142,0.00093595849323839,0.0305934387285638,2.44685102598594,1,1,2.54108843949488e-06,"hetero",NA,"substantive",1000,500,4,20,"baseline",1.075,1
