"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
"bam_fd","classic_cluster",1000,0.055,0.945,0.999554229543178,0.036607755973287,0.0365072256650614,0.997253852208289,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_fd","penalty_cluster",1000,0.055,0.945,0.999554229543178,0.036607755973287,0.036233776591565,0.989784148965731,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_fd","penalty_cluster_delta",1000,0.055,0.945,0.999554229543178,0.036607755973287,0.0362617155718001,0.990547347350672,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_fd","mgcv_sandwich_freq",1000,0.102,0.898,0.999554229543178,0.036607755973287,0.030277138245507,0.827068948656686,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_fd","mgcv_sandwich_default",1000,0.102,0.898,0.999554229543178,0.036607755973287,0.030310464831805,0.827979318205761,2.01982936873854e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","classic_cluster",1000,0.054,0.946,0.999370725005652,0.0310977026302573,0.0308945731393334,0.993468022595139,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","penalty_cluster",1000,0.058,0.942,0.999370725005652,0.0310977026302573,0.0306923151476721,0.986964069744792,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","penalty_cluster_delta",1000,0.058,0.942,0.999370725005652,0.0310977026302573,0.0307150255202491,0.987694360752041,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","mgcv_sandwich_freq",1000,0.055,0.945,0.999370725005652,0.0310977026302573,0.0306473938392867,0.985519547976755,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_fe","mgcv_sandwich_default",1000,0.054,0.946,0.999370725005652,0.0310977026302573,0.0306700655650675,0.986248596229943,1.38926771943658e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","classic_cluster",1000,0.058,0.942,1.00202597265725,0.0310889095875648,0.030899120860256,0.993895291606345,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","penalty_cluster",1000,0.06,0.94,1.00202597265725,0.0310889095875648,0.0305675332756717,0.98322950792389,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","penalty_cluster_delta",1000,0.06,0.94,1.00202597265725,0.0310889095875648,0.0306458647917488,0.985749104690594,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","mgcv_sandwich_freq",1000,0.059,0.941,1.00202597265725,0.0310889095875648,0.0305374339143923,0.982261337548066,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
"bam_re","mgcv_sandwich_default",1000,0.058,0.942,1.00202597265725,0.0310889095875648,0.030615658979644,0.984777510237602,4.78636956184307e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1,1
