"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
"bam_fd","classic_cluster",1000,0.522,0.945,1.07455388565003,0.0366076042854882,0.0365072347652914,0.997258233032295,2.01982951911849e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fd","penalty_cluster",1000,0.526,0.945,1.07455388565003,0.0366076042854882,0.0362337858657159,0.989788503589116,2.01982951911849e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fd","penalty_cluster_delta",1000,0.526,0.945,1.07455388565003,0.0366076042854882,0.0362617248349186,0.990551704835087,2.01982951911849e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_freq",1000,0.646,0.898,1.07455388565003,0.0366076042854882,0.0302771430568621,0.827072507142032,2.01982951911849e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_default",1000,0.645,0.898,1.07455388565003,0.0366076042854882,0.0303104696381576,0.827982880326673,2.01982951911849e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","classic_cluster",1000,0.677,0.946,1.07437037283949,0.0310974204609753,0.0308945911422129,0.99347761596442,1.38926804164078e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","penalty_cluster",1000,0.682,0.942,1.07437037283949,0.0310974204609753,0.0306923326861425,0.986973589165021,1.38926804164078e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","penalty_cluster_delta",1000,0.68,0.942,1.07437037283949,0.0310974204609753,0.0307150430462962,0.987703886399228,1.38926804164078e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_freq",1000,0.689,0.945,1.07437037283949,0.0310974204609753,0.0306474017526776,0.985528744776035,1.38926804164078e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_default",1000,0.686,0.946,1.07437037283949,0.0310974204609753,0.0306700734764498,0.986257799579815,1.38926804164078e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","classic_cluster",1000,0.703,0.942,1.07702562090993,0.0310886283218069,0.0308991391142362,0.993904870758231,4.78637153426442e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","penalty_cluster",1000,0.714,0.94,1.07702562090993,0.0310886283218069,0.030567551042015,0.983238974894674,4.78637153426442e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","penalty_cluster_delta",1000,0.712,0.94,1.07702562090993,0.0310886283218069,0.0306458825404923,0.985758593890613,4.78637153426442e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_freq",1000,0.717,0.941,1.07702562090993,0.0310886283218069,0.0305374414541304,0.982270466809569,4.78637153426442e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_default",1000,0.716,0.942,1.07702562090993,0.0310886283218069,0.0306156665300465,0.984786662606511,4.78637153426442e-06,"hetero",NA,"substantive",1000,200,8,20,"baseline",1.075,1
