"method","vcov_type","n_success","rejection_frequency","beta_coverage","mean_beta_hat","sd_beta_hat","mean_se","se_to_sd","mean_delta_beta_variance","error_design","rho","df_correction","M","n","T","K","dgp","beta_true","beta_null"
"bam_fd","classic_cluster",1000,0.872,0.944,1.07486925960844,0.0239977536101036,0.0237198554368979,0.98841982555031,8.92319558039559e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fd","penalty_cluster",1000,0.873,0.941,1.07486925960844,0.0239977536101036,0.0235728769763486,0.982295149760346,8.92319558039559e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fd","penalty_cluster_delta",1000,0.873,0.941,1.07486925960844,0.0239977536101036,0.0235918248459225,0.983084718229201,8.92319558039559e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_freq",1000,0.916,0.92,1.07486925960844,0.0239977536101036,0.0213916487739218,0.891402133777863,8.92319558039559e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fd","mgcv_sandwich_default",1000,0.916,0.92,1.07486925960844,0.0239977536101036,0.0214124970562517,0.892270893523824,8.92319558039559e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","classic_cluster",1000,0.87,0.949,1.07560756296584,0.0243563090987088,0.0245336876944472,1.00728265497943,8.40247623030878e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","penalty_cluster",1000,0.872,0.949,1.07560756296584,0.0243563090987088,0.0244038136562599,1.00195040050439,8.40247623030878e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","penalty_cluster_delta",1000,0.872,0.949,1.07560756296584,0.0243563090987088,0.0244210336466022,1.00265740378113,8.40247623030878e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_freq",1000,0.879,0.949,1.07560756296584,0.0243563090987088,0.0240666071035246,0.98810566929455,8.40247623030878e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_fe","mgcv_sandwich_default",1000,0.879,0.949,1.07560756296584,0.0243563090987088,0.024084044797753,0.988821610866718,8.40247623030878e-07,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","classic_cluster",1000,0.909,0.949,1.07927263162975,0.0243343384907415,0.0245415471932936,1.00851507439296,5.82400353333653e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","penalty_cluster",1000,0.919,0.946,1.07927263162975,0.0243343384907415,0.0241677838041071,0.993155569579269,5.82400353333653e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","penalty_cluster_delta",1000,0.916,0.949,1.07927263162975,0.0243343384907415,0.024287929741694,0.998092869914459,5.82400353333653e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_freq",1000,0.923,0.943,1.07927263162975,0.0243343384907415,0.0238556532313094,0.980328815611149,5.82400353333653e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
"bam_re","mgcv_sandwich_default",1000,0.922,0.944,1.07927263162975,0.0243343384907415,0.0239772322210628,0.9853250060685,5.82400353333653e-06,"hetero_ar1",0.5,"substantive",1000,500,4,20,"baseline",1.075,1
