"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.05,0.997,0.309123313508149,0.140558579550365,0.0816538910010916,0.309016994374947,0.000106319133201194,1.72139475323333,0.000106319133201194,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.0683673469387755,0.997,0.41077860143447,0.129855349708931,0.0786243659001274,0.416475099043599,-0.00569649760912905,1.65159169453754,0.00569649760912905,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.086734693877551,0.994,0.510058514474282,0.114250231452162,0.0769254044190687,0.518392568310525,-0.00833405383624286,1.48520807027231,0.00833405383624286,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.105102040816327,0.994,0.604760567486486,0.117955758117451,0.0751544013372435,0.613413528704367,-0.00865296121788117,1.56951231090436,0.00865296121788117,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.123469387755102,0.995,0.692447433244508,0.119874009925607,0.0732619312156763,0.700273855435255,-0.00782642219074736,1.63623873868011,0.00782642219074736,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.141836734693878,0.996,0.770986652700326,0.112000292240411,0.0714799128129147,0.777817989857797,-0.00683133715747097,1.56687785187359,0.00683133715747097,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.160204081632653,0.994,0.838899569347273,0.111231643425957,0.0698105489711,0.845014312609001,-0.00611474326172812,1.593335750332,0.00611474326172812,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.178571428571429,0.996,0.895325755954491,0.111460558348809,0.0680987139916161,0.900968867902419,-0.00564311194792844,1.63674982706034,0.00564311194792844,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.196938775510204,0.998,0.939691485924171,0.105018021527323,0.0661634692566398,0.944937256395429,-0.00524577047125863,1.58725083051451,0.00524577047125863,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.21530612244898,0.998,0.971427434134592,0.104150056600496,0.0639604107658,0.976334538411204,-0.00490710427661234,1.62835190320863,0.00490710427661234,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.233673469387755,0.998,0.989964392612488,0.104525226028417,0.0616891352094535,0.994743015766457,-0.00477862315396937,1.69438630762973,0.00477862315396937,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.252040816326531,0.998,0.994958959494009,0.100196239800733,0.0597159446516208,0.999917788678319,-0.00495882918431045,1.67788084715518,0.00495882918431045,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.270408163265306,0.999,0.986460947292691,0.0999970261735637,0.0583239968019959,0.991790013823246,-0.00532906653055565,1.71450914986234,0.00532906653055565,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.288775510204082,0.997,0.96483501590051,0.0991356285367504,0.0574380655961299,0.970467820203915,-0.00563280430340496,1.72595695046231,0.00563280430340496,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.307142857142857,0.999,0.930550287916834,0.0961010725095953,0.0566708026845788,0.936234870639737,-0.00568458272290306,1.69577750723736,0.00568458272290306,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.325510204081633,1,0.88406687564162,0.0968026691913565,0.0557680470644649,0.889546588018412,-0.00547971237679168,1.73580884192444,0.00547971237679168,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.343877551020408,1,0.825950278044657,0.0954131866252466,0.0548889213406481,0.831024096513104,-0.0050738184684469,1.73829589459591,0.0050738184684469,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.362244897959184,1,0.75698171927687,0.0946035463704579,0.0543831249153174,0.761445958369135,-0.00446423909226423,1.73957540170355,0.00446423909226423,"hetero",NA,"substantive",1000,200,4,20,"sin_2pi"
