"model","method","vcov_type","x","point_coverage","mean_estimate","mean_reported_se","empirical_sd","truth","bias","se_to_sd","abs_bias","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.05,0.996,0.304050633612755,0.0639031510298136,0.0395691658070335,0.309016994374947,-0.00496636076219265,1.61497341999701,0.00496636076219265,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.0683673469387755,0.994,0.410801297811599,0.0569694997230849,0.0394750580776778,0.416475099043599,-0.00567380123200029,1.44317709706676,0.00567380123200029,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.086734693877551,0.989,0.513046298973338,0.0520302825527152,0.0386258714893119,0.518392568310525,-0.0053462693371874,1.34703193860914,0.0053462693371874,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.105102040816327,0.992,0.608828534160547,0.0550142360963718,0.0374211469573934,0.613413528704367,-0.00458499454381978,1.47013762456318,0.00458499454381978,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.123469387755102,0.99,0.696424559313937,0.0530398259280704,0.0363737004536793,0.700273855435255,-0.0038492961213179,1.45819164029282,0.0038492961213179,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.141836734693878,0.992,0.774513834115263,0.0494966570894232,0.0354276568610417,0.777817989857797,-0.00330415574253462,1.39711912880845,0.00330415574253462,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.160204081632653,0.994,0.842129898959894,0.0505242400068658,0.0344246339400379,0.845014312609001,-0.0028844136491073,1.46767689948049,0.0028844136491073,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.178571428571429,0.994,0.898498116329647,0.0487912170825298,0.033439335058626,0.900968867902419,-0.00247075157277188,1.45909651005287,0.00247075157277188,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.196938775510204,0.991,0.9428870130074,0.0463282036129837,0.0327034078780515,0.944937256395429,-0.00205024338802906,1.41661700168184,0.00205024338802906,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.21530612244898,0.993,0.974590772921799,0.0470869872621355,0.0322415584986402,0.976334538411204,-0.00174376548940514,1.46044389461265,0.00174376548940514,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.233673469387755,0.993,0.993067036486258,0.0454818032783135,0.0318689633623098,0.994743015766457,-0.00167597928019969,1.42715038331316,0.00167597928019969,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.252040816326531,0.992,0.998079974978182,0.0439031834265229,0.0314494809412251,0.999917788678319,-0.00183781370013747,1.39599071630378,0.00183781370013747,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.270408163265306,0.994,0.989715631092724,0.0442964493672111,0.0308055561503108,0.991790013823246,-0.00207438273052274,1.4379370121115,0.00207438273052274,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.288775510204082,0.994,0.968264813547864,0.0425970696557804,0.0298389387158986,0.970467820203915,-0.00220300665605122,1.42756651170989,0.00220300665605122,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.307142857142857,0.992,0.934096847482422,0.0419428562665423,0.0287736763325364,0.936234870639737,-0.00213802315731582,1.45768152049151,0.00213802315731582,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.325510204081633,0.996,0.887632716890782,0.0421937584351117,0.0278548747785244,0.889546588018412,-0.0019138711276302,1.51477106864046,0.0019138711276302,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.343877551020408,0.997,0.829414510480885,0.0407350551444623,0.0272008950566515,0.831024096513104,-0.0016095860322195,1.49756304193752,0.0016095860322195,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.362244897959184,0.995,0.760162055475094,0.0410321421826112,0.0269410740535557,0.761445958369135,-0.0012839028940409,1.5230329013997,0.0012839028940409,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.380612244897959,0.997,0.680772650949829,0.0410661380381433,0.0270092445030746,0.681737816191,-0.000965165241171295,1.5204474909866,0.000965165241171295,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.398979591836735,0.994,0.592280746439401,0.0398811416454557,0.0272183975357939,0.592960078525026,-0.000679332085625317,1.4652273923551,0.000679332085625317,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.41734693877551,0.994,0.495843829035197,0.0403971036839641,0.027438176754469,0.49629381256425,-0.000449983529053122,1.47229548251177,0.000449983529053122,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.435714285714286,0.996,0.392767971698763,0.0399668783713157,0.0274770923191756,0.393025031653924,-0.000257059955161343,1.45455268363399,0.000257059955161343,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.454081632653061,0.996,0.284491757191243,0.0395490945434919,0.0272327413130206,0.284527586631033,-3.58294397895809e-05,1.45226270425382,3.58294397895809e-05,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.472448979591837,0.994,0.172494210306861,0.0403465085991885,0.0269010998510063,0.17224488860532,0.000249321701541433,1.49980888598052,0.000249321701541433,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.490816326530612,0.994,0.0582246726540602,0.039632439262885,0.0268135017555859,0.0576707063353748,0.000553966318685359,1.4780777096609,0.000553966318685359,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.509183673469388,0.994,-0.0568901149500098,0.0401174577794503,0.0270555354313827,-0.0576707063353744,0.000780591385364619,1.48278188325619,0.000780591385364619,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
"np","bam_fd","classic_cluster",0.527551020408163,0.996,-0.171368091657454,0.0410336163782137,0.0273493671349581,-0.172244888605319,0.000876796947864716,1.50034975857867,0.000876796947864716,"hetero_ar1",0.5,"substantive",1000,200,8,20,"sin_2pi"
