"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp"
"np","bam_fd","classic_cluster",0.99582,0.28599748986198,1,0.463503957223929,3.17643483360106,0.989,0.997,0.997,0.995,0.00187802510839346,0.0467379421215541,0.0729598839871274,1.56648083282819,0.00531176417557278,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","penalty_cluster",0.94072,0.176584043114088,0.914000000000004,0.267734782162347,2.97184316751241,0.929,0.947,0.941,0.943,0.00187802510839346,0.0467379421215541,0.0450477775374855,0.96539696595341,0.00531176417557278,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","penalty_cluster_delta",0.964800000000001,0.19776629157954,0.972,0.308191491460027,3.05450910232021,0.952,0.972,0.963,0.957,0.00187802510839346,0.0467379421215541,0.0504515116449831,1.08246766866965,0.00531176417557278,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_freq",0.9234,0.164524463491775,0.871999999999992,0.249629129201266,2.97385001307694,0.909,0.933,0.918,0.921,0.00187802510839346,0.0467379421215541,0.0419712976334064,0.899645729778542,0.00531176417557278,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fd","mgcv_sandwich_default",0.95582,0.186997047750099,0.957000000000004,0.292181767251638,3.06254956179448,0.94,0.962,0.954,0.951,0.00187802510839346,0.0467379421215541,0.0477042050836412,1.02384238132352,0.00531176417557278,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","classic_cluster",0.9964,0.300399464319044,1,0.486987646898261,3.17734983906288,0.99,0.999,0.998,0.995,0.00336774117265351,0.0482015716391189,0.076633924574267,1.59456298525764,0.00748512824625025,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","penalty_cluster",0.9375,0.180630568413628,0.917999999999994,0.272090465223671,2.95256311987713,0.919,0.942,0.935,0.933,0.00336774117265351,0.0482015716391189,0.0460800733682912,0.956706702039597,0.00748512824625025,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","penalty_cluster_delta",0.967000000000001,0.205679646598229,0.979999999999999,0.319928054212461,3.04879401622708,0.955,0.97,0.97,0.968,0.00336774117265351,0.0482015716391189,0.0524702617549618,1.09101186571918,0.00748512824625025,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_freq",0.940660000000001,0.181305613335447,0.919,0.273426381435751,2.9558718745097,0.921,0.948,0.933,0.941,0.00336774117265351,0.0482015716391189,0.0462522818698616,0.960436012540251,0.00748512824625025,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
"np","bam_fe","mgcv_sandwich_default",0.968399999999999,0.206201993339555,0.982999999999998,0.320808839964825,3.04939540339719,0.957,0.972,0.971,0.97,0.00336774117265351,0.0482015716391189,0.0526035159232645,1.09392169499181,0.00748512824625025,1000,"hetero_ar1",0.5,"substantive",1000,200,4,20,"sin_2pi"
