"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp","mc_seed","chunk"
"np","bam_fd","classic_cluster",0.99472,0.180775981794041,1,0.292685689096135,3.17320030496258,0.972,0.992,0.996,1,0.00191571956221693,0.0310139768647135,0.0461171693000431,1.48935590038783,0.00589693419679754,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_fd","penalty_cluster",0.95208,0.122575348152291,0.940000000000002,0.189946197420343,3.03720614332255,0.92,0.972,0.956,0.94,0.00191571956221693,0.0310139768647135,0.0312697960572616,1.01215298381838,0.00589693419679754,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_fd","penalty_cluster_delta",0.97056,0.135996713669236,0.988,0.214749313048192,3.09485966407217,0.944,0.988,0.976,0.964,0.00191571956221693,0.0310139768647135,0.0346936767057866,1.12311513545783,0.00589693419679754,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_fd","mgcv_sandwich_freq",0.93616,0.113625720338075,0.904,0.176243593683158,3.03998162990894,0.904,0.964,0.94,0.916,0.00191571956221693,0.0310139768647135,0.0289866857846217,0.938343910965269,0.00589693419679754,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_fd","mgcv_sandwich_default",0.9612,0.127960202700102,0.964000000000001,0.202423307088557,3.10044302245057,0.936,0.984,0.96,0.956,0.00191571956221693,0.0310139768647135,0.0326435086841992,1.05686148817704,0.00589693419679754,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_fe","classic_cluster",0.99552,0.189784237667766,1,0.306631998726564,3.16662374626651,0.98,0.992,0.992,0.996,0.00277600743757517,0.0317430476801102,0.0484152359851406,1.52460428113297,0.00749138019299589,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_fe","penalty_cluster",0.94832,0.125124255741856,0.943999999999998,0.193050122987742,3.02389503099228,0.916,0.956,0.936,0.968,0.00277600743757517,0.0317430476801102,0.0319200395335885,1.0069913177895,0.00749138019299589,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_fe","penalty_cluster_delta",0.9712,0.141407179801166,0.980000000000001,0.222846656616784,3.08874935199103,0.948,0.976,0.972,0.972,0.00277600743757517,0.0317430476801102,0.0360739230201595,1.13856876774261,0.00749138019299589,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_fe","mgcv_sandwich_freq",0.9492,0.125276875480497,0.955999999999999,0.193987073214037,3.03493236413793,0.916,0.956,0.944,0.968,0.00277600743757517,0.0317430476801102,0.0319589738558119,1.0083353734672,0.00749138019299589,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_fe","mgcv_sandwich_default",0.97248,0.141517752486228,0.980000000000001,0.222578976195308,3.08279804545545,0.952,0.984,0.976,0.976,0.00277600743757517,0.0317430476801102,0.036102130856103,1.13957078734017,0.00749138019299589,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_re","classic_cluster",0.99328,0.189879484989296,1,0.307246318610856,3.17144263841722,0.968,0.992,0.992,0.992,0.0136532219238089,0.0315108683004675,0.048439534217731,1.53610205199039,0.0276968133760429,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_re","penalty_cluster",0.92448,0.122860116626743,0.908000000000005,0.190025372951358,3.0313239326646,0.884,0.932,0.936,0.928,0.0136532219238089,0.0315108683004675,0.0313424424111485,0.996483474895872,0.0276968133760429,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_re","penalty_cluster_delta",0.95968,0.140321403505407,0.976000000000001,0.22124083114188,3.09016392441915,0.932,0.964,0.972,0.964,0.0136532219238089,0.0315108683004675,0.0357969341815065,1.13817864090268,0.0276968133760429,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_re","mgcv_sandwich_freq",0.92512,0.123029081534015,0.923999999999996,0.189819470002564,3.02399036421098,0.884,0.932,0.944,0.92,0.0136532219238089,0.0315108683004675,0.0313855464958674,0.997949450431512,0.0276968133760429,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"np","bam_re","mgcv_sandwich_default",0.95976,0.140443509896452,0.98,0.22106830408425,3.08511290530035,0.932,0.964,0.968,0.964,0.0136532219238089,0.0315108683004675,0.0358280843434502,1.13926300900271,0.0276968133760429,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fd","classic_cluster",0.9948,0.182021013124326,0.996,0.295002505556726,3.17673270031155,0.98,1,0.988,0.984,0.00329361810641988,0.0317368804411366,0.046434785169545,1.4665386870394,0.0106800501483216,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fd","penalty_cluster",0.9468,0.123394740791018,0.940000000000001,0.191179420704549,3.03650173218397,0.928,0.944,0.932,0.956,0.00329361810641988,0.0317368804411366,0.0314788286326534,0.997276057064375,0.0106800501483216,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fd","penalty_cluster_delta",0.96872,0.137032409524101,0.988,0.216514318312232,3.09670481079101,0.948,0.98,0.952,0.972,0.00329361810641988,0.0317368804411366,0.0349578896870031,1.10951979022889,0.0106800501483216,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fd","mgcv_sandwich_freq",0.92904,0.114239988470892,0.899999999999999,0.177040613849065,3.03729185659134,0.896,0.936,0.92,0.92,0.00329361810641988,0.0317368804411366,0.0291433897183831,0.924160997615826,0.0106800501483216,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fd","mgcv_sandwich_default",0.95816,0.128807387036931,0.972,0.203558385226349,3.0973219107323,0.928,0.972,0.944,0.96,0.00329361810641988,0.0317368804411366,0.0328596311087722,1.04397075062498,0.0106800501483216,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
"pl","bam_fe","classic_cluster",0.99544,0.19001704140634,0.996,0.307192826763218,3.16857521909683,0.988,1,0.996,0.996,0.00286048900378361,0.0327981458465315,0.0484746257852618,1.47925876775078,0.00783394355897638,250,"hetero_ar1",0.5,"substantive",250,500,4,20,"sin_2pi",20261902,"a1"
