"model","method","vcov_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","abs_bias","empirical_sd","mean_reported_se","se_to_sd","max_abs_bias","n_success","error_design","rho","df_correction","M","n","T","K","dgp","mc_seed","chunk"
"np","bam_fd","classic_cluster",0.99528,0.271409096706252,1,0.438959259776193,3.16979584598673,0.984,0.984,1,0.996,0.00298112319619015,0.0462025091530131,0.0692382867356473,1.50468237915851,0.00737322770658078,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"np","bam_fd","penalty_cluster",0.94056,0.173445663982583,0.935999999999996,0.267100633679009,3.01817219856032,0.912,0.932,0.944,0.936,0.00298112319619015,0.0462025091530131,0.0442471559045729,0.963264977327714,0.00737322770658078,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"np","bam_fd","penalty_cluster_delta",0.96496,0.19114137669635,0.972000000000002,0.299098954197025,3.06693624916148,0.94,0.952,0.976,0.976,0.00298112319619015,0.0462025091530131,0.048761451282791,1.06225118110734,0.00737322770658078,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"np","bam_fd","mgcv_sandwich_freq",0.89736,0.150623108169053,0.868,0.232493050858673,3.02510297253515,0.856,0.884,0.912,0.916,0.00298112319619015,0.0462025091530131,0.0384249683558344,0.836705503798617,0.00737322770658078,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"np","bam_fd","mgcv_sandwich_default",0.93728,0.170667431053915,0.928000000000002,0.268513428012273,3.08340528720551,0.9,0.932,0.948,0.932,0.00298112319619015,0.0462025091530131,0.0435384099912341,0.948805950249551,0.00737322770658078,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"np","bam_fe","classic_cluster",0.99728,0.235270635721358,1,0.380299701226744,3.16819462353259,0.984,0.992,1,0.996,0.00275790882243431,0.0383239769033518,0.0600191221821276,1.57244163433324,0.00729663395648661,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"np","bam_fe","penalty_cluster",0.948,0.148755953064644,0.948000000000001,0.22909549095464,3.01853664931465,0.92,0.944,0.94,0.96,0.00275790882243431,0.0383239769033518,0.0379486445256169,0.995962396188261,0.00729663395648661,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"np","bam_fe","penalty_cluster_delta",0.97424,0.168724859084815,0.988,0.264683156351571,3.07460658245884,0.948,0.972,0.96,0.98,0.00275790882243431,0.0383239769033518,0.0430428468113943,1.13084724489125,0.00729663395648661,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"np","bam_fe","mgcv_sandwich_freq",0.94896,0.148944765016372,0.948000000000003,0.229902266205147,3.02517372346267,0.916,0.948,0.944,0.956,0.00275790882243431,0.0383239769033518,0.0379968117249168,0.997574362311202,0.00729663395648661,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
"np","bam_fe","mgcv_sandwich_default",0.9748,0.168867113931149,0.988,0.264355862199322,3.06816788876643,0.948,0.972,0.96,0.98,0.00275790882243431,0.0383239769033518,0.0430791369798504,1.1321134067126,0.00729663395648661,250,"hetero",NA,"substantive",250,500,4,20,"sin_2pi",20260903,"h2"
