"configuration","beta_true","method","min_rejection_penalty","max_rejection_penalty","range_rejection_penalty","range_mean_beta_hat"
"n=200, T=4",1,"bam_fd",0.063,0.063,0,2.32637805401836e-05
"n=200, T=8",1,"bam_fd",0.058,0.059,0.000999999999999994,6.95114295601318e-06
"n=500, T=4",1,"bam_fd",0.058,0.059,0.000999999999999994,9.05196012102039e-06
"n=200, T=4",1.075,"bam_fd",0.525,0.528,0.003,2.32637802499713e-05
"n=200, T=8",1.075,"bam_fd",0.83,0.833,0.003,6.95571154007979e-06
"n=500, T=4",1.075,"bam_fd",0.873,0.877,0.004,9.04484529007377e-06
"n=200, T=4",1,"bam_fe",0.054,0.054,0,3.64642867479725e-05
"n=200, T=8",1,"bam_fe",0.062,0.062,0,7.3808938559905e-06
"n=500, T=4",1,"bam_fe",0.047,0.052,0.005,4.84284238999599e-06
"n=200, T=4",1.075,"bam_fe",0.485,0.486,0.001,3.64642872101584e-05
"n=200, T=8",1.075,"bam_fe",0.758,0.759,0.001,7.37854987997721e-06
"n=500, T=4",1.075,"bam_fe",0.871,0.872,0.001,4.84612161999465e-06
"n=200, T=4",1,"bam_re",0.051,0.053,0.002,4.81756184800286e-05
"n=200, T=8",1,"bam_re",0.056,0.057,0.001,5.49278284989185e-06
"n=500, T=4",1,"bam_re",0.054,0.055,0.001,1.18367708699108e-05
"n=200, T=4",1.075,"bam_re",0.539,0.545,0.006,1.66108583301572e-05
"n=200, T=8",1.075,"bam_re",0.779,0.779,0,5.49048621989456e-06
"n=500, T=4",1.075,"bam_re",0.919,0.919,0,4.32971982600172e-05
