"method","n_success","rejection_classic_cluster","rejection_penalty_cluster","rejection_wild_boot","mean_beta_hat","sd_beta_hat","mean_se_classic_cluster","mean_se_penalty_cluster","mean_p_boot","min_boot_success","mean_boot_success","K_smooth","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","error_design","rho","df_correction","source_file","n","T","beta_true","configuration"
"bam_fd",1000,0.063,0.063,NA,1.00030006067974,0.0373714826634881,0.0373615442786948,0.0372525149182256,NA,NA,NA,10,7.79107123839667,9,0.865674582044074,0.009,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1,"n=200, T=4"
"bam_fe",1000,0.052,0.054,NA,0.999970455788148,0.037986805811555,0.038658463608088,0.0385595677741051,NA,NA,NA,10,7.59478531687296,9,0.843865035208106,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1,"n=200, T=4"
"bam_re",1000,0.049,0.053,NA,1.00375231682433,0.0377883424164222,0.0386722284229419,0.0381792948075932,NA,NA,NA,10,7.59937873516403,9,0.844375415018226,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1,"n=200, T=4"
"bam_fd",1000,0.06,0.063,NA,1.00028081524682,0.0373184258376366,0.0378842347558036,0.0371748504558215,NA,NA,NA,20,9.55050766665499,19,0.502658298244999,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1,"n=200, T=4"
"bam_fe",1000,0.051,0.054,NA,0.999937656119666,0.038019093994611,0.0391237781846378,0.0385155959868228,NA,NA,NA,20,9.03902043927146,19,0.475737917856393,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1,"n=200, T=4"
"bam_re",1000,0.046,0.051,NA,1.00370797515152,0.0378108127973546,0.039138286444749,0.0381364560862729,NA,NA,NA,20,9.04838503101151,19,0.476230791105869,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1_bnull1_K20_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1,"n=200, T=4"
"bam_fd",1000,0.053,0.063,NA,1.0002767968992,0.0373181999040853,0.0392232771410993,0.0371589442612213,NA,NA,NA,40,9.81211838360354,39,0.251592779066757,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1,"n=200, T=4"
"bam_fe",1000,0.045,0.054,NA,0.9999339915014,0.0380175902762309,0.0402455338399642,0.0385072824907332,NA,NA,NA,40,9.23271397133871,39,0.236736255675352,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1,"n=200, T=4"
"bam_re",1000,0.041,0.051,NA,1.00370414120585,0.0378088527005371,0.0402597342644523,0.038128254116394,NA,NA,NA,40,9.24288793297566,39,0.236997126486555,0,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1_bnull1_K40_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1,"n=200, T=4"
"bam_fd",1000,0.525,0.528,NA,1.07530006067973,0.037371482663489,0.0373615442786948,0.0372525149182256,NA,NA,NA,10,7.79107123839662,9,0.865674582044069,0.009,0,"hetero_ar1",0.5,"substantive","panel_fe_beta_inference_summary_M1000_B0_n200_T4_sine_g_btrue1p075_bnull1_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,1.075,"n=200, T=4"
