"configuration","model","method","range_avg_pointwise_coverage","range_min_pointwise_coverage","range_uniform_coverage","range_avg_pointwise_width","range_avg_uniform_width"
"n=200, T=4","np","bam_fd",0.00184000000000206,0.005,0.012,0.00518472140905599,0.011838490762242
"n=200, T=8","np","bam_fd",0.00517999999999907,0.003,0.0109999999999889,0.00756954252925499,0.015933864401873
"n=500, T=4","np","bam_fd",0.00147999999999904,0.001,0.0079999999999989,0.007510570904197,0.016123863287126
"n=200, T=4","pl","bam_fd",0.000340000000000007,0.002,0.019000000000005,0.00508084451490198,0.011308071103301
"n=200, T=8","pl","bam_fd",0.00134000000000001,0.003,0.0039999999999949,0.007592930300529,0.016324166067469
"n=500, T=4","pl","bam_fd",0.00152000000000097,0.0079999999999999,0.0130000000000009,0.00746908814523599,0.016267683894205
"n=200, T=4","np","bam_fe",0.00160000000000105,0.011,0.005000000000004,0.00369978974100202,0.00877281344619102
"n=200, T=8","np","bam_fe",0.000719999999999055,0.003,0.0079999999999969,0.005136974442773,0.011190566089403
"n=500, T=4","np","bam_fe",0.00139999999999907,0.006,0.00599999999999801,0.00580964875586,0.012777855742368
"n=200, T=4","pl","bam_fe",0.000939999999996943,0.00800000000000001,0.00499999999999889,0.00358939503108802,0.008453673969265
"n=200, T=8","pl","bam_fe",0.00301999999999991,0.00900000000000001,0.006,0.00522414911702199,0.011663888284566
"n=500, T=4","pl","bam_fe",0.00198000000000098,0,0.004999999999999,0.00576498111816999,0.012504635644198
"n=200, T=4","np","bam_re",0.000480000000001035,0.006,0.010999999999998,0.00374680849012002,0.00852149580832101
"n=200, T=8","np","bam_re",0.00119999999999998,0.003,0.007000000000014,0.005172235513969,0.011528822855095
"n=500, T=4","np","bam_re",0.00190000000000001,0.012,0.010999999999995,0.00585386701290301,0.012707029173015
"n=200, T=4","pl","bam_re",0.000420000000004972,0.00900000000000001,0.012999999999987,0.00363179734055599,0.00838842501856701
"n=200, T=8","pl","bam_re",0.00285999999999809,0.001,0.001999999999999,0.00525390817225901,0.011811245634864
"n=500, T=4","pl","bam_re",0.00118000000000096,0.011,0.011000000000001,0.005817027954692,0.01250885343227
