"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth","source_file","n","T","configuration"
"np","bam_fd","classic",0.9647,0.193558314665832,0.957000000000004,0.293747011520279,2.97462805339571,7.81298905522962,9,0.868109895025514,0.009,0,0.945,0.973,0.961,0.967,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_fd","penalty",0.94162,0.171417857041559,0.917999999999995,0.256106312897401,2.92850678795128,7.81298905522962,9,0.868109895025514,0.009,0,0.929,0.946,0.933,0.945,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_fe","classic",0.9676,0.203619912283315,0.966999999999998,0.309009718042029,2.97457761559289,7.61079309619319,9,0.845643677354799,0.0019999999999994,0,0.949,0.978,0.971,0.974,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_fe","penalty",0.937620000000001,0.176946237122107,0.916000000000003,0.263574635672924,2.91978410677872,7.61079309619319,9,0.845643677354799,0.0019999999999994,0,0.921,0.941,0.941,0.938,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_re","classic",0.96126,0.203813737987379,0.957999999999998,0.309296970286221,2.97451194785126,7.61504295877259,9,0.846115884308066,0.00299999999999989,0,0.939,0.962,0.973,0.97,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"np","bam_re","penalty",0.9214,0.17325696592308,0.880000000000003,0.25850815021705,2.9245960298436,7.61504295877259,9,0.846115884308066,0.00299999999999989,0,0.892,0.914,0.936,0.928,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fd","classic",0.96914,0.196422243313102,0.970999999999999,0.297848277635842,2.97220964509916,7.78504571555942,9,0.865005079506602,0.002,0,0.952,0.972,0.975,0.981,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fd","penalty",0.94584,0.173541027243675,0.928999999999999,0.259087132212841,2.92640864610688,7.78504571555942,9,0.865005079506602,0.002,0,0.929,0.947,0.95,0.949,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fe","classic",0.972159999999999,0.205129143801261,0.981,0.311032848124306,2.97208343353535,7.59359815101265,9,0.843733127890295,0,0,0.947,0.973,0.975,0.975,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
"pl","bam_fe","penalty",0.94568,0.178125157632171,0.926000000000002,0.265022848346793,2.91643598852233,7.59359815101265,9,0.843733127890295,0,0,0.934,0.943,0.943,0.953,"hetero_ar1",0.5,"substantive",10,"panel_fe_g_inference_summary_M1000_n200_T4_sin_2pi_np_pl_J50_K10_hetero_ar1_rho0p5_dfsubstantive.csv",200,4,"n=200, T=4"
