"configuration","model","method","K_smooth","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","block"
"n=200, T=4","pl","bam_fd",10,7.79107123839667,9,0.865674582044074,0.009,0,"beta"
"n=200, T=4","pl","bam_fd",10,7.79107123839662,9,0.865674582044069,0.009,0,"beta"
"n=200, T=4","pl","bam_fd",20,9.55050766665499,19,0.502658298244999,0,0,"beta"
"n=200, T=4","pl","bam_fd",20,9.55050766600088,19,0.502658298210573,0,0,"beta"
"n=200, T=4","pl","bam_fd",40,9.81211838360354,39,0.251592779066757,0,0,"beta"
"n=200, T=4","pl","bam_fd",40,9.81211838295981,39,0.251592779050252,0,0,"beta"
"n=200, T=4","pl","bam_fe",10,7.59478531687296,9,0.843865035208106,0,0,"beta"
"n=200, T=4","pl","bam_fe",10,7.59478531687297,9,0.843865035208108,0,0,"beta"
"n=200, T=4","pl","bam_fe",20,9.03902043927146,19,0.475737917856393,0,0,"beta"
"n=200, T=4","pl","bam_fe",20,9.0390204395872,19,0.47573791787301,0,0,"beta"
"n=200, T=4","pl","bam_fe",40,9.23271397133871,39,0.236736255675352,0,0,"beta"
"n=200, T=4","pl","bam_fe",40,9.23271397122258,39,0.236736255672374,0,0,"beta"
"n=200, T=4","pl","bam_re",10,7.59937873516403,9,0.844375415018226,0,0,"beta"
"n=200, T=4","pl","bam_re",10,7.59905855505437,9,0.844339839450485,0,0,"beta"
"n=200, T=4","pl","bam_re",20,9.04838503101151,19,0.476230791105869,0,0,"beta"
"n=200, T=4","pl","bam_re",20,9.04838502952237,19,0.476230791027493,0,0,"beta"
"n=200, T=4","pl","bam_re",40,9.24288793297566,39,0.236997126486555,0,0,"beta"
"n=200, T=4","pl","bam_re",40,9.24288793300209,39,0.236997126487233,0,0,"beta"
"n=200, T=8","pl","bam_fd",10,8.30998484265798,9,0.92333164918422,1,0,"beta"
"n=200, T=8","pl","bam_fd",10,8.30998489152134,9,0.923331654613483,1,0,"beta"
"n=200, T=8","pl","bam_fd",20,11.0689470771654,19,0.582576161956074,0,0,"beta"
"n=200, T=8","pl","bam_fd",20,11.068946600702,19,0.582576136879055,0,0,"beta"
"n=200, T=8","pl","bam_fd",40,11.5692085191848,39,0.296646372286789,0,0,"beta"
"n=200, T=8","pl","bam_fd",40,11.5692072298259,39,0.296646339226304,0,0,"beta"
"n=200, T=8","pl","bam_fe",10,8.06068176974739,9,0.89563130774971,0.285,0,"beta"
"n=200, T=8","pl","bam_fe",10,8.06068162956018,9,0.895631292173353,0.285,0,"beta"
"n=200, T=8","pl","bam_fe",20,10.1619893004044,19,0.534841542126547,0,0,"beta"
"n=200, T=8","pl","bam_fe",20,10.1619897207495,19,0.534841564249975,0,0,"beta"
"n=200, T=8","pl","bam_fe",40,10.4830615814428,39,0.268796450806226,0,0,"beta"
"n=200, T=8","pl","bam_fe",40,10.483061768549,39,0.268796455603821,0,0,"beta"
"n=200, T=8","pl","bam_re",10,8.06144082475779,9,0.89571564719531,0.284,0,"beta"
"n=200, T=8","pl","bam_re",10,8.06144067843937,9,0.895715630937708,0.284,0,"beta"
"n=200, T=8","pl","bam_re",20,10.1631655830164,19,0.534903451737703,0,0,"beta"
"n=200, T=8","pl","bam_re",20,10.1631660058853,19,0.534903473993965,0,0,"beta"
"n=200, T=8","pl","bam_re",40,10.4841456122417,39,0.268824246467737,0,0,"beta"
"n=200, T=8","pl","bam_re",40,10.4844047553811,39,0.268830891163619,0,0,"beta"
"n=500, T=4","pl","bam_fd",10,8.33803103392016,9,0.926447892657796,1,0,"beta"
"n=500, T=4","pl","bam_fd",10,8.33803042942277,9,0.926447825491419,1,0,"beta"
"n=500, T=4","pl","bam_fd",20,11.1591284336711,19,0.587322549140585,0,0,"beta"
"n=500, T=4","pl","bam_fd",20,11.159121108144,19,0.587322163586526,0,0,"beta"
"n=500, T=4","pl","bam_fd",40,11.6755527165164,39,0.299373146577343,0,0,"beta"
"n=500, T=4","pl","bam_fd",40,11.6755442657882,39,0.299372929892004,0,0,"beta"
"n=500, T=4","pl","bam_fe",10,8.20675581430952,9,0.911861757145503,0.988,0,"beta"
"n=500, T=4","pl","bam_fe",10,8.20675540045118,9,0.911861711161242,0.988,0,"beta"
"n=500, T=4","pl","bam_fe",20,10.6258714868068,19,0.559256394042462,0,0,"beta"
"n=500, T=4","pl","bam_fe",20,10.6258744636304,19,0.55925655071739,0,0,"beta"
"n=500, T=4","pl","bam_fe",40,11.0209052470386,39,0.282587314026631,0,0,"beta"
"n=500, T=4","pl","bam_fe",40,11.0209084401432,39,0.282587395901109,0,0,"beta"
"n=500, T=4","pl","bam_re",10,8.21005459132824,9,0.91222828792536,0.99,0,"beta"
"n=500, T=4","pl","bam_re",10,8.20819454728763,9,0.912021616365292,0.986,0,"beta"
"n=500, T=4","pl","bam_re",20,10.6375048721969,19,0.55986867748405,0,0,"beta"
"n=500, T=4","pl","bam_re",20,10.637507779706,19,0.559868830510843,0,0,"beta"
"n=500, T=4","pl","bam_re",40,11.0340329840364,39,0.282923922667601,0,0,"beta"
"n=500, T=4","pl","bam_re",40,11.0340360512208,39,0.282924001313355,0,0,"beta"
"n=200, T=4","np","bam_fd",10,7.81298905522962,9,0.868109895025514,0.009,0,"coverage"
"n=200, T=4","np","bam_fd",20,9.59709816934236,19,0.505110429965387,0,0,"coverage"
"n=200, T=4","np","bam_fd",40,9.86145129508479,39,0.252857725514995,0,0,"coverage"
"n=200, T=4","np","bam_fe",10,7.61079309619319,9,0.845643677354799,0.0019999999999994,0,"coverage"
"n=200, T=4","np","bam_fe",20,9.06515352621678,19,0.477113343485094,0,0,"coverage"
"n=200, T=4","np","bam_fe",40,9.25999093663732,39,0.237435665041982,0,0,"coverage"
"n=200, T=4","np","bam_re",10,7.61504295877259,9,0.846115884308066,0.00299999999999989,0,"coverage"
"n=200, T=4","np","bam_re",20,9.07321931597559,19,0.477537858735557,0,0,"coverage"
"n=200, T=4","np","bam_re",40,9.26859178585419,39,0.237656199637287,0,0,"coverage"
"n=200, T=4","pl","bam_fd",10,7.78504571555942,9,0.865005079506602,0.002,0,"coverage"
"n=200, T=4","pl","bam_fd",20,9.52984393097743,19,0.501570733209338,0,0,"coverage"
"n=200, T=4","pl","bam_fd",40,9.79034086775816,39,0.251034381224568,0,0,"coverage"
"n=200, T=4","pl","bam_fe",10,7.59359815101265,9,0.843733127890295,0,0,"coverage"
"n=200, T=4","pl","bam_fe",20,9.03852189990426,19,0.475711678942329,0,0,"coverage"
"n=200, T=4","pl","bam_fe",40,9.23378624604128,39,0.236763749898494,0,0,"coverage"
"n=200, T=4","pl","bam_re",10,7.59836472220657,9,0.844262746911841,0,0,"coverage"
"n=200, T=4","pl","bam_re",20,9.05045657903423,19,0.47633981994917,0,0,"coverage"
"n=200, T=4","pl","bam_re",40,9.24646693303039,39,0.237088895718728,0,0,"coverage"
"n=200, T=8","np","bam_fd",10,8.31856327426268,9,0.924284808251409,1,0,"coverage"
"n=200, T=8","np","bam_fd",20,11.0988911784253,19,0.584152167285545,0,0,"coverage"
"n=200, T=8","np","bam_fd",40,11.6097906245324,39,0.297686939090573,0,0,"coverage"
"n=200, T=8","np","bam_fe",10,8.06536033214005,9,0.896151148015562,0.286000000000005,0,"coverage"
"n=200, T=8","np","bam_fe",20,10.1848401105718,19,0.536044216345883,0,0,"coverage"
"n=200, T=8","np","bam_fe",40,10.5086574187925,39,0.269452754328012,0,0,"coverage"
"n=200, T=8","np","bam_re",10,8.0660222828438,9,0.896224698093756,0.294000000000008,0,"coverage"
"n=200, T=8","np","bam_re",20,10.1866711086664,19,0.536140584666652,0,0,"coverage"
"n=200, T=8","np","bam_re",40,10.51064026651,39,0.26950359657718,0,0,"coverage"
"n=200, T=8","pl","bam_fd",10,8.30992160135349,9,0.92332462237261,1,0,"coverage"
"n=200, T=8","pl","bam_fd",20,11.0769608357627,19,0.582997938724354,0,0,"coverage"
"n=200, T=8","pl","bam_fd",40,11.5807666190636,39,0.296942733822143,0,0,"coverage"
"n=200, T=8","pl","bam_fe",10,8.05982153210442,9,0.89553572578938,0.260999999999995,0,"coverage"
"n=200, T=8","pl","bam_fe",20,10.179109412061,19,0.53574260063479,0,0,"coverage"
"n=200, T=8","pl","bam_fe",40,10.505153303255,39,0.269362905211667,0,0,"coverage"
"n=200, T=8","pl","bam_re",10,8.06054296394552,9,0.895615884882835,0.263000000000001,0,"coverage"
"n=200, T=8","pl","bam_re",20,10.1801659399506,19,0.535798207365822,0,0,"coverage"
"n=200, T=8","pl","bam_re",40,10.5061144051777,39,0.26938754885071,0,0,"coverage"
"n=500, T=4","np","bam_fd",10,8.35149201214657,9,0.927943556905174,1,0,"coverage"
"n=500, T=4","np","bam_fd",20,11.2097686124975,19,0.589987821710392,0,0,"coverage"
"n=500, T=4","np","bam_fd",40,11.7325465713766,39,0.300834527471196,0,0,"coverage"
"n=500, T=4","np","bam_fe",10,8.21816777732502,9,0.913129753036113,0.988999999999999,0,"coverage"
"n=500, T=4","np","bam_fe",20,10.653890568028,19,0.560731082527791,0,0,"coverage"
