"configuration","dgp","method","min_rmse_times_100","max_rmse_times_100","range_rmse_times_100","relative_range_vs_K20"
"n=200, T=4","linear","mgcv::bam FD",1.18059612403753,1.18160712640025,0.00101100236271998,0.000855649286427508
"n=200, T=8","linear","mgcv::bam FD",0.805042375688507,0.807212571031872,0.00217019534336504,0.00268850538414045
"n=500, T=4","linear","mgcv::bam FD",0.756674501546523,0.757548720438182,0.000874218891658979,0.00115420398725253
"n=200, T=4","quadratic","mgcv::bam FD",1.71077180686505,1.71301654079047,0.00224473392541995,0.00131055600924905
"n=200, T=8","quadratic","mgcv::bam FD",1.20123722958212,1.20440791140953,0.00317068182741007,0.0026332645569496
"n=500, T=4","quadratic","mgcv::bam FD",1.13372609601711,1.1360779199756,0.00235182395848989,0.00207039708171209
"n=200, T=4","sin_2pi","mgcv::bam FD",2.42670748644549,2.6346523889535,0.20794490250801,0.0792033936816823
"n=200, T=8","sin_2pi","mgcv::bam FD",1.6808691312882,1.91745915047113,0.23659001918293,0.124274920807806
"n=500, T=4","sin_2pi","mgcv::bam FD",1.58446114179415,1.8200626165825,0.23560147478835,0.130394551327612
"n=200, T=4","linear","mgcv::bam FE",1.18469834954966,1.18646305573858,0.00176470618891995,0.00148736716274862
"n=200, T=8","linear","mgcv::bam FE",0.879013733232638,0.88188362837692,0.00286989514428192,0.00325427874147508
"n=500, T=4","linear","mgcv::bam FE",0.74372599597267,0.74376901263616,4.30166634900371e-05,5.78390253192205e-05
"n=200, T=4","quadratic","mgcv::bam FE",1.76643773798709,1.76720666328941,0.000768925302319784,0.000435159528742182
"n=200, T=8","quadratic","mgcv::bam FE",1.3192413448935,1.31983200793323,0.00059066303973003,0.000447556450361127
"n=500, T=4","quadratic","mgcv::bam FE",1.1692006454013,1.16946822633261,0.000267580931309977,0.000228810649426868
"n=200, T=4","sin_2pi","mgcv::bam FE",2.51228613706223,2.68252282651567,0.17023668945344,0.0635744351147931
"n=200, T=8","sin_2pi","mgcv::bam FE",1.86360008388631,2.05844553876415,0.19484545487784,0.0949450133856198
"n=500, T=4","sin_2pi","mgcv::bam FE",1.63671050704344,1.84079666473826,0.20408615769482,0.111292397442104
"n=200, T=4","linear","mgcv::bam RE",1.21109643142274,1.22712841197434,0.0160319805516,0.0132185443181142
"n=200, T=8","linear","mgcv::bam RE",0.880978811191802,0.884904634778921,0.00392582358711892,0.00444171048438955
"n=500, T=4","linear","mgcv::bam RE",0.79523306571864,0.79661183101566,0.00137876529702,0.00173367769522157
"n=200, T=4","quadratic","mgcv::bam RE",1.77941334648825,1.7846021832228,0.00518883673454977,0.00291327759415667
"n=200, T=8","quadratic","mgcv::bam RE",1.32495731601319,1.32579160204933,0.00083428603613999,0.000629451552306076
"n=500, T=4","quadratic","mgcv::bam RE",1.21057142328258,1.213476842821,0.0029054195384199,0.00239964562628176
"n=200, T=4","sin_2pi","mgcv::bam RE",2.55979171619377,2.69624852954966,0.13645681335589,0.0506979573234314
"n=200, T=8","sin_2pi","mgcv::bam RE",1.93488417649324,2.06243246923273,0.12754829273949,0.0620305494264318
"n=500, T=4","sin_2pi","mgcv::bam RE",1.81240955836445,1.86911346067763,0.05670390231318,0.0304506371644716
