"dgp","method","mean_mse","sd_mse","se_mse","median_mse","mean_rmse","K_smooth","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","error_design","rho","source_file","n","T","K_smooth_file","configuration","rmse_times_100"
"linear","linear FE",0.0001670653586482,0.000231311975749691,7.31472693442657e-06,7.93944582576628e-05,0.0103485966398684,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",1.03485966398684
"linear","linear FD",0.000148977357537481,0.000209446659227896,6.62328491473273e-06,7.21592806593657e-05,0.00982126617464948,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",0.982126617464948
"linear","spline FE, fixed K",0.000610937750770572,0.000345848176253785,1.09366796157732e-05,0.000551882191785205,0.0237802566227432,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",2.37802566227432
"linear","FD spline, fixed K",0.00054566078853854,0.000310120007150463,9.80685570583169e-06,0.000486441829922623,0.0224747869778198,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",2.24747869778198
"linear","mgcv::bam FE",0.000203920095783261,0.000256196115847185,8.10163253765465e-06,0.000125090620398809,0.0118469834954966,10,1.3166007741142,9,0.146288974901578,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",1.18469834954966
"linear","mgcv::bam RE",0.000213342017433789,0.00026108760315019,8.25631494788752e-06,0.000121145968587696,0.0121109643142274,10,1.31105012541441,9,0.145672236157156,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",1.21109643142274
"linear","mgcv::bam FD",0.000197702367309153,0.000237480139636608,7.50978140306513e-06,0.000115743176133757,0.0118059612403753,10,1.44743136200545,9,0.160825706889494,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",1.18059612403753
"quadratic","linear FE",0.00359008055281191,0.000349442364904402,1.1050337840536e-05,0.0035153679513515,0.0598514694068183,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",5.98514694068183
"quadratic","linear FD",0.00359000310480406,0.000335617662336709,1.06131623596531e-05,0.00352540492433248,0.0598552448475847,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",5.98552448475847
"quadratic","spline FE, fixed K",0.000609611881716344,0.000369861727371717,1.16960547781887e-05,0.000531487512474684,0.0236917072940282,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",2.36917072940282
"quadratic","FD spline, fixed K",0.000551014789156433,0.000323704657542036,1.02364400703764e-05,0.000491996841035681,0.0225509733891711,NA,NA,NA,NA,NA,NA,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",2.25509733891711
"quadratic","mgcv::bam FE",0.0003668792169791,0.000323165858076885,1.02194017352568e-05,0.000284161899616951,0.0176643773798709,10,3.72005946039179,9,0.413339940043532,0,0,"hetero_ar1",0.5,"panel_fe_test_mse_summary_M1000_n200_T4_Kfixed7_Kbam10_test1000_linear_quadratic_sin_2pi_no_forests_hetero_ar1_rho0p5.csv",200,4,10,"n=200, T=4",1.76643773798709
