"model","method","se_type","x","point_coverage","df_correction"
"np","bam_fd","classic",0.05,0.999,"substantive"
"pl","bam_fd","classic",0.05,1,"substantive"
"np","bam_fe","classic",0.05,1,"substantive"
"pl","bam_fe","classic",0.05,1,"substantive"
"np","bam_re","classic",0.05,1,"substantive"
"pl","bam_re","classic",0.05,1,"substantive"
"np","bam_fd","penalty",0.05,0.928,"substantive"
"pl","bam_fd","penalty",0.05,0.943,"substantive"
"np","bam_fe","penalty",0.05,0.939,"substantive"
"pl","bam_fe","penalty",0.05,0.952,"substantive"
"np","bam_re","penalty",0.05,0.927,"substantive"
"pl","bam_re","penalty",0.05,0.932,"substantive"
"np","bam_fd","classic",0.0683673469387755,1,"substantive"
"pl","bam_fd","classic",0.0683673469387755,0.999,"substantive"
"np","bam_fe","classic",0.0683673469387755,1,"substantive"
"pl","bam_fe","classic",0.0683673469387755,1,"substantive"
"np","bam_re","classic",0.0683673469387755,0.999,"substantive"
"pl","bam_re","classic",0.0683673469387755,1,"substantive"
"np","bam_fd","penalty",0.0683673469387755,0.924,"substantive"
"pl","bam_fd","penalty",0.0683673469387755,0.947,"substantive"
"np","bam_fe","penalty",0.0683673469387755,0.934,"substantive"
"pl","bam_fe","penalty",0.0683673469387755,0.947,"substantive"
"np","bam_re","penalty",0.0683673469387755,0.921,"substantive"
"pl","bam_re","penalty",0.0683673469387755,0.933,"substantive"
"np","bam_fd","classic",0.086734693877551,0.999,"substantive"
"pl","bam_fd","classic",0.086734693877551,1,"substantive"
"np","bam_fe","classic",0.086734693877551,1,"substantive"
"pl","bam_fe","classic",0.086734693877551,1,"substantive"
"np","bam_re","classic",0.086734693877551,0.999,"substantive"
"pl","bam_re","classic",0.086734693877551,0.999,"substantive"
"np","bam_fd","penalty",0.086734693877551,0.925,"substantive"
"pl","bam_fd","penalty",0.086734693877551,0.944,"substantive"
"np","bam_fe","penalty",0.086734693877551,0.928,"substantive"
"pl","bam_fe","penalty",0.086734693877551,0.946,"substantive"
"np","bam_re","penalty",0.086734693877551,0.921,"substantive"
"pl","bam_re","penalty",0.086734693877551,0.923,"substantive"
"np","bam_fd","classic",0.105102040816327,1,"substantive"
"pl","bam_fd","classic",0.105102040816327,0.998,"substantive"
"np","bam_fe","classic",0.105102040816327,1,"substantive"
"pl","bam_fe","classic",0.105102040816327,0.999,"substantive"
"np","bam_re","classic",0.105102040816327,0.999,"substantive"
"pl","bam_re","classic",0.105102040816327,0.999,"substantive"
"np","bam_fd","penalty",0.105102040816327,0.929,"substantive"
"pl","bam_fd","penalty",0.105102040816327,0.944,"substantive"
"np","bam_fe","penalty",0.105102040816327,0.936,"substantive"
"pl","bam_fe","penalty",0.105102040816327,0.936,"substantive"
"np","bam_re","penalty",0.105102040816327,0.917,"substantive"
"pl","bam_re","penalty",0.105102040816327,0.921,"substantive"
"np","bam_fd","classic",0.123469387755102,0.998,"substantive"
"pl","bam_fd","classic",0.123469387755102,0.999,"substantive"
"np","bam_fe","classic",0.123469387755102,1,"substantive"
"pl","bam_fe","classic",0.123469387755102,1,"substantive"
"np","bam_re","classic",0.123469387755102,1,"substantive"
"pl","bam_re","classic",0.123469387755102,1,"substantive"
"np","bam_fd","penalty",0.123469387755102,0.94,"substantive"
"pl","bam_fd","penalty",0.123469387755102,0.949,"substantive"
"np","bam_fe","penalty",0.123469387755102,0.938,"substantive"
"pl","bam_fe","penalty",0.123469387755102,0.94,"substantive"
"np","bam_re","penalty",0.123469387755102,0.921,"substantive"
"pl","bam_re","penalty",0.123469387755102,0.922,"substantive"
"np","bam_fd","classic",0.141836734693878,0.998,"substantive"
"pl","bam_fd","classic",0.141836734693878,1,"substantive"
"np","bam_fe","classic",0.141836734693878,1,"substantive"
"pl","bam_fe","classic",0.141836734693878,1,"substantive"
"np","bam_re","classic",0.141836734693878,1,"substantive"
"pl","bam_re","classic",0.141836734693878,1,"substantive"
"np","bam_fd","penalty",0.141836734693878,0.941,"substantive"
"pl","bam_fd","penalty",0.141836734693878,0.942,"substantive"
"np","bam_fe","penalty",0.141836734693878,0.936,"substantive"
"pl","bam_fe","penalty",0.141836734693878,0.946,"substantive"
"np","bam_re","penalty",0.141836734693878,0.919,"substantive"
"pl","bam_re","penalty",0.141836734693878,0.928,"substantive"
"np","bam_fd","classic",0.160204081632653,0.999,"substantive"
"pl","bam_fd","classic",0.160204081632653,1,"substantive"
"np","bam_fe","classic",0.160204081632653,1,"substantive"
"pl","bam_fe","classic",0.160204081632653,0.998,"substantive"
"np","bam_re","classic",0.160204081632653,1,"substantive"
"pl","bam_re","classic",0.160204081632653,0.998,"substantive"
"np","bam_fd","penalty",0.160204081632653,0.947,"substantive"
"pl","bam_fd","penalty",0.160204081632653,0.949,"substantive"
"np","bam_fe","penalty",0.160204081632653,0.945,"substantive"
"pl","bam_fe","penalty",0.160204081632653,0.943,"substantive"
"np","bam_re","penalty",0.160204081632653,0.93,"substantive"
"pl","bam_re","penalty",0.160204081632653,0.932,"substantive"
"np","bam_fd","classic",0.178571428571429,1,"substantive"
"pl","bam_fd","classic",0.178571428571429,0.999,"substantive"
"np","bam_fe","classic",0.178571428571429,1,"substantive"
"pl","bam_fe","classic",0.178571428571429,1,"substantive"
"np","bam_re","classic",0.178571428571429,1,"substantive"
"pl","bam_re","classic",0.178571428571429,1,"substantive"
"np","bam_fd","penalty",0.178571428571429,0.948,"substantive"
"pl","bam_fd","penalty",0.178571428571429,0.944,"substantive"
"np","bam_fe","penalty",0.178571428571429,0.947,"substantive"
"pl","bam_fe","penalty",0.178571428571429,0.943,"substantive"
"np","bam_re","penalty",0.178571428571429,0.935,"substantive"
"pl","bam_re","penalty",0.178571428571429,0.923,"substantive"
"np","bam_fd","classic",0.196938775510204,1,"substantive"
"pl","bam_fd","classic",0.196938775510204,1,"substantive"
"np","bam_fe","classic",0.196938775510204,1,"substantive"
"pl","bam_fe","classic",0.196938775510204,1,"substantive"
"np","bam_re","classic",0.196938775510204,1,"substantive"
"pl","bam_re","classic",0.196938775510204,1,"substantive"
"np","bam_fd","penalty",0.196938775510204,0.944,"substantive"
"pl","bam_fd","penalty",0.196938775510204,0.939,"substantive"
"np","bam_fe","penalty",0.196938775510204,0.957,"substantive"
"pl","bam_fe","penalty",0.196938775510204,0.949,"substantive"
"np","bam_re","penalty",0.196938775510204,0.938,"substantive"
"pl","bam_re","penalty",0.196938775510204,0.916,"substantive"
"np","bam_fd","classic",0.21530612244898,0.999,"substantive"
"pl","bam_fd","classic",0.21530612244898,1,"substantive"
"np","bam_fe","classic",0.21530612244898,1,"substantive"
"pl","bam_fe","classic",0.21530612244898,1,"substantive"
"np","bam_re","classic",0.21530612244898,1,"substantive"
