"model","method","se_type","avg_pointwise_coverage","avg_pointwise_width","uniform_coverage","avg_uniform_width","avg_sup_crit","mean_edf","mean_edf_ceiling","mean_edf_ratio","fraction_binding_90","fraction_binding_95","min_pointwise_coverage","coverage_at_0.25","coverage_at_0.5","coverage_at_0.75","error_design","rho","df_correction","K_smooth"
"np","bam_fd","classic",0.96354,0.129469095021529,0.968000000000001,0.196455717720709,2.97424495950155,8.31538863302238,10,0.831538863302238,0,0,0.95,0.966,0.976,0.968,"hetero_ar1",0.5,"substantive",10
"np","bam_fd","penalty",0.949639999999999,0.120516994107945,0.948999999999994,0.181503532840446,2.95184977168562,8.31538863302238,10,0.831538863302238,0,0,0.934,0.953,0.964,0.945,"hetero_ar1",0.5,"substantive",10
"np","bam_fe","classic",0.965279999999999,0.147410455164752,0.973,0.223813524068521,2.97583198595085,8.05974835251425,9,0.895527594723805,0.262,0,0.954,0.968,0.973,0.962,"hetero_ar1",0.5,"substantive",10
"np","bam_fe","penalty",0.94332,0.13382040781319,0.930999999999999,0.201026211399818,2.94435173510654,8.05974835251425,9,0.895527594723805,0.262,0,0.933,0.944,0.946,0.937,"hetero_ar1",0.5,"substantive",10
"np","bam_re","classic",0.959999999999999,0.147460833405354,0.964000000000001,0.223734156352736,2.97383353078097,8.0605086265414,9,0.895612069615711,0.255000000000004,0,0.946,0.959,0.968,0.962,"hetero_ar1",0.5,"substantive",10
"np","bam_re","penalty",0.93638,0.132627746917348,0.91400000000001,0.198994949687384,2.94091514146218,8.0605086265414,9,0.895612069615711,0.255000000000004,0,0.92,0.935,0.947,0.927,"hetero_ar1",0.5,"substantive",10
"pl","bam_fd","classic",0.95896,0.131206972043359,0.966999999999999,0.199117324149607,2.97453058162315,8.30694175384815,10,0.830694175384815,0,0,0.936,0.952,0.966,0.964,"hetero_ar1",0.5,"substantive",10
"pl","bam_fd","penalty",0.94338,0.122041755760661,0.939000000000003,0.183607617042749,2.94891939289864,8.30694175384815,10,0.830694175384815,0,0,0.926,0.938,0.945,0.944,"hetero_ar1",0.5,"substantive",10
"pl","bam_fe","classic",0.96356,0.147054385900096,0.967,0.223069312349758,2.97328948208072,8.0614134204149,9,0.895712602268322,0.263999999999996,0,0.941,0.968,0.968,0.977,"hetero_ar1",0.5,"substantive",10
"pl","bam_fe","penalty",0.944680000000001,0.133451419562631,0.928000000000001,0.200263849248593,2.94147455669007,8.0614134204149,9,0.895712602268322,0.263999999999996,0,0.927,0.95,0.95,0.949,"hetero_ar1",0.5,"substantive",10
"pl","bam_re","classic",0.959459999999999,0.14710517479521,0.960999999999997,0.222994135499302,2.97130028642562,8.06224356413517,9,0.895804840459463,0.262,0,0.926,0.97,0.969,0.971,"hetero_ar1",0.5,"substantive",10
"pl","bam_re","penalty",0.936979999999999,0.132325628191105,0.902000000000003,0.198484207469165,2.93995546838269,8.06224356413517,9,0.895804840459463,0.262,0,0.908,0.948,0.951,0.945,"hetero_ar1",0.5,"substantive",10
