"id","block","status","elapsed_seconds","log"
"mse_n200_T4_K10","mse","complete",873.656,"logs/mse_n200_T4_K10.log"
"beta_n200_T4_b1_K10","beta","complete",389.865,"logs/beta_n200_T4_b1_K10.log"
"beta_n200_T4_b1p075_K10","beta","complete",388.252,"logs/beta_n200_T4_b1p075_K10.log"
"coverage_n200_T4_K10","coverage","complete",833.368,"logs/coverage_n200_T4_K10.log"
"mse_n200_T4_K20","mse","complete",1054.426,"logs/mse_n200_T4_K20.log"
"beta_n200_T4_b1_K20","beta","complete",466.842,"logs/beta_n200_T4_b1_K20.log"
"beta_n200_T4_b1p075_K20","beta","complete",467.372,"logs/beta_n200_T4_b1p075_K20.log"
"coverage_n200_T4_K20","coverage","complete",1002.962,"logs/coverage_n200_T4_K20.log"
"mse_n200_T4_K40","mse","complete",1359.665,"logs/mse_n200_T4_K40.log"
"beta_n200_T4_b1_K40","beta","complete",623.973,"logs/beta_n200_T4_b1_K40.log"
"beta_n200_T4_b1p075_K40","beta","complete",623.211,"logs/beta_n200_T4_b1p075_K40.log"
"coverage_n200_T4_K40","coverage","complete",1347.141,"logs/coverage_n200_T4_K40.log"
"mse_n200_T8_K10","mse","complete",1020.536,"logs/mse_n200_T8_K10.log"
"beta_n200_T8_b1_K10","beta","complete",447.818,"logs/beta_n200_T8_b1_K10.log"
"beta_n200_T8_b1p075_K10","beta","complete",449.898,"logs/beta_n200_T8_b1p075_K10.log"
"coverage_n200_T8_K10","coverage","complete",944.184,"logs/coverage_n200_T8_K10.log"
"mse_n200_T8_K20","mse","complete",1195.057,"logs/mse_n200_T8_K20.log"
"beta_n200_T8_b1_K20","beta","complete",527.575,"logs/beta_n200_T8_b1_K20.log"
"beta_n200_T8_b1p075_K20","beta","complete",525.214,"logs/beta_n200_T8_b1p075_K20.log"
"coverage_n200_T8_K20","coverage","complete",1136.063,"logs/coverage_n200_T8_K20.log"
"mse_n200_T8_K40","mse","complete",1537.487,"logs/mse_n200_T8_K40.log"
"beta_n200_T8_b1_K40","beta","complete",691.653,"logs/beta_n200_T8_b1_K40.log"
"beta_n200_T8_b1p075_K40","beta","complete",699.137,"logs/beta_n200_T8_b1p075_K40.log"
"coverage_n200_T8_K40","coverage","complete",1528.208,"logs/coverage_n200_T8_K40.log"
"mse_n500_T4_K10","mse","complete",6777.034,"logs/mse_n500_T4_K10.log"
"beta_n500_T4_b1_K10","beta","complete",3305.957,"logs/beta_n500_T4_b1_K10.log"
"beta_n500_T4_b1p075_K10","beta","complete",3304.235,"logs/beta_n500_T4_b1p075_K10.log"
"coverage_n500_T4_K10","coverage","complete",6462.953,"logs/coverage_n500_T4_K10.log"
"mse_n500_T4_K20","mse","complete",7136.78,"logs/mse_n500_T4_K20.log"
"beta_n500_T4_b1_K20","beta","complete",3542.273,"logs/beta_n500_T4_b1_K20.log"
"beta_n500_T4_b1p075_K20","beta","complete",3523.277,"logs/beta_n500_T4_b1p075_K20.log"
"coverage_n500_T4_K20","coverage","complete",6856.764,"logs/coverage_n500_T4_K20.log"
"mse_n500_T4_K40","mse","complete",7768.737,"logs/mse_n500_T4_K40.log"
"beta_n500_T4_b1_K40","beta","complete",3893.502,"logs/beta_n500_T4_b1_K40.log"
"beta_n500_T4_b1p075_K40","beta","complete",3885.602,"logs/beta_n500_T4_b1p075_K40.log"
"coverage_n500_T4_K40","coverage","complete",7237.615,"logs/coverage_n500_T4_K40.log"
